Date,Open,High,Low,Close
5/17/2024,500.88,505.66,495.2,505.33
5/16/2024,488.53,503.52,488.07,497.51
5/15/2024,490,493.85,486.99,490.06
5/14/2024,490,494.35,482.69,488.11
5/13/2024,489.98,493.14,484,485.51
5/10/2024,484.71,487.76,482.28,484.89
5/9/2024,472.85,484.5,472.38,482.5
5/8/2024,470.28,474.87,468.43,470.75
5/7/2024,479.23,479.23,471.34,471.34
5/6/2024,471.95,480.26,470.01,475.49
5/3/2024,472.8,474.9,466.47,466.98
5/2/2024,471.29,471.98,458.69,467.7
5/1/2024,465.54,480.48,463.35,470.03
4/30/2024,475.67,482.15,464.82,465.79
4/29/2024,480.48,483,472.54,476.98
4/26/2024,465.23,479.33,463.16,477.78
4/25/2024,466.88,474.32,458.92,464.49
4/24/2024,452.5,471.03,449,464.65
4/23/2024,479,483.08,439.95,446
4/22/2024,514.28,522.13,510.39,515.17
4/19/2024,508.03,510.22,503.99,510.07
4/18/2024,512.32,518.17,499.77,505.76
4/17/2024,517.57,518.41,511.47,511.83
4/16/2024,513.2,514.35,508.67,513.43
4/15/2024,533.36,534.1,510.76,513.06
4/12/2024,528.51,532.9,520.78,526.62
4/11/2024,532.66,539.29,526.58,534.49
4/10/2024,541.55,549.1,532.6,533.05
4/9/2024,554.7,554.99,549.82,554.72
4/8/2024,544.4,549.99,541.4,549.06
4/5/2024,536.24,543.56,535.35,542.39
4/4/2024,543.37,547.95,531.91,533.58
4/3/2024,541.94,544.56,539.51,540
4/2/2024,551.69,554.73,537.83,542.29
4/1/2024,562.36,563.62,552.24,554.83
3/28/2024,558.46,563.23,557.52,560.45
3/27/2024,556.62,558.23,550.42,557
3/26/2024,551.93,556,551.06,551.68
3/25/2024,550.75,552.21,547.53,551.34
3/22/2024,563,563,550.79,553.11
3/21/2024,560.42,568.46,560.02,563.78
3/20/2024,565.05,565.43,555.82,559.14
3/19/2024,551,564.8,548.82,564.33
3/18/2024,547.25,555.19,545.54,550.39
3/15/2024,549.56,552.12,544.08,544.74
3/14/2024,559,559.22,546.85,553.07
3/13/2024,566.98,566.98,556.73,557.52
3/12/2024,567.6,578.65,561.39,565.8
3/11/2024,550.52,564.79,548.39,564.3
3/8/2024,550,555.18,549.15,551.5
3/7/2024,559.2,559.2,550,550.17
3/6/2024,551,554.22,547.2,549.53
3/5/2024,556,557.15,548.52,550.35
3/4/2024,565.28,565.84,557.8,558.37
3/1/2024,558.52,567.44,554.77,565.48
2/29/2024,569.79,570.34,560.84,560.97
2/28/2024,554.86,568.2,554.31,567.91
2/27/2024,567.78,567.78,557.62,557.84
2/26/2024,569.25,574.14,567.62,567.93
2/23/2024,568.49,571.18,566.07,568.97
2/22/2024,563.79,569.51,560.12,565.47
2/21/2024,554.5,559.73,549.57,555.65
2/20/2024,559.38,560.26,551.18,556.56
2/16/2024,573.25,578.38,568.07,568.75
2/15/2024,573.64,578.01,571.32,575.72
2/14/2024,580.66,580.66,568.6,572.8
2/13/2024,580,582.28,570.8,575.61
2/12/2024,592.93,596.8,589.42,590.19
2/9/2024,585.39,594.24,584.5,592.42
2/8/2024,586.43,588.48,581.25,585.5
2/7/2024,585.08,591.49,578.35,590.63
2/6/2024,586.93,586.93,579.34,582
2/5/2024,590.85,592.39,582.43,583.39
2/2/2024,603.36,604.58,590.67,593.06
2/1/2024,598.94,604.3,584.41,604.3
1/31/2024,600,612.53,596.63,598.62
1/30/2024,580.14,617.39,580.14,602.24
1/29/2024,542.38,551.48,542.38,550.95
1/26/2024,557.09,559.33,544.36,549.29
1/25/2024,558.68,559.59,549.35,554.77
1/24/2024,567.79,567.79,558.09,558.46
1/23/2024,566.63,571.19,562.88,563.8
1/22/2024,556.83,569.6,556.17,566.22
1/19/2024,551.4,556.28,545.04,553.93
1/18/2024,551.35,554.27,539.36,546.46
1/17/2024,532,539.3,525.46,538.16
1/16/2024,541.07,543.52,536.08,542.47
1/12/2024,555.3,556,542.31,545.46
1/11/2024,549.78,554.78,546.1,550.28
1/10/2024,541.63,546.83,538,546.66
1/9/2024,537.83,546.7,537.82,539.75
1/8/2024,541.92,543.26,536.07,543.15
1/5/2024,556.2,560.21,536.35,538.05
1/4/2024,547.34,562.32,547.34,559.72
1/3/2024,552.91,552.91,544.84,549.87
1/2/2024,560.04,561.52,551.09,555.8
12/29/2023,569.44,573.32,563.86,565.65
12/28/2023,566.93,573.18,566.91,570.6
12/27/2023,561.57,566.93,561.57,565.62
12/26/2023,562.28,563.35,558.44,561.27
12/22/2023,554.75,562.7,554.75,562.28
12/21/2023,544.43,553.43,541.32,553.02
12/20/2023,541.72,555.78,540.14,540.18
12/19/2023,535,544.24,534.8,542.53
12/18/2023,531.82,536.42,525.26,532.86
12/15/2023,541.51,541.51,528.49,531.58
12/14/2023,551.25,559.86,538.55,542.11
12/13/2023,534.71,546.97,529.1,546.37
12/12/2023,518.96,526.25,513.04,526.02
12/11/2023,507.71,518.43,507.71,516.61
12/8/2023,507.04,509.07,500.01,506.68
12/7/2023,516.99,518.46,507.38,508.44
12/6/2023,526.92,527.98,515,515.11
12/5/2023,523.11,524.57,517.1,523.43
12/4/2023,524.75,532.5,522.02,525.49
12/1/2023,519.13,528.29,516.49,527.7
11/30/2023,526.42,528.29,516.58,520.85
11/29/2023,528.15,532.08,525.36,526.57
11/28/2023,522.39,528.15,522.22,523.84
11/27/2023,524.47,528.03,522.73,525.35
11/24/2023,522.87,528.43,522.11,528.35
11/22/2023,529.18,533.35,523.79,523.97
11/21/2023,522,524.99,518.65,524.89
11/20/2023,521.86,524.04,518.95,522.21
11/17/2023,528.96,528.96,518.63,521.42
11/16/2023,523.27,529.71,521.01,524.27
11/15/2023,520.1,524.46,518.69,521.75
11/14/2023,512.45,522.91,512.42,518.05
11/13/2023,510,512.78,501.3,503.79
11/10/2023,509.14,514.41,500.39,514.26
11/9/2023,507.2,512.81,504.28,506.22
11/8/2023,496.94,507.33,496.94,504.98
11/7/2023,499.81,503.65,495.94,497.3
11/6/2023,498.43,500.14,493.12,496.56
11/3/2023,484.92,498.8,484.92,497.76
11/2/2023,480.19,487.03,475.9,487.02
11/1/2023,468.35,480.62,458.99,471.85
10/31/2023,473,476.53,466.23,471.55
10/30/2023,479.78,483.79,474.41,481.99
10/27/2023,481.95,485.55,474.57,476.19
10/26/2023,478.35,487.51,477.81,481.55
10/25/2023,481.48,490.03,476.7,479.63
10/24/2023,489.35,495.37,483.4,488.05
10/23/2023,487.18,495,482.49,487.59
10/20/2023,495.96,498.55,485.93,489.74
10/19/2023,507.23,508.64,496.12,497.27
10/18/2023,510.99,512.98,504.7,505.99
10/17/2023,510.82,520.38,510.82,515.8
10/16/2023,515.78,520.98,513.41,515.46
10/13/2023,521.6,521.6,506.46,510.56
10/12/2023,525.66,529.34,517.25,520.09
10/11/2023,525.58,527.65,518.78,523.17
10/10/2023,515.03,523.78,510.81,520.78
10/9/2023,511.8,518.29,509.27,515.37
10/6/2023,493.38,515.83,490.47,513.34
10/5/2023,501.05,502.9,495.28,498.13
10/4/2023,497.57,502.5,495.54,501.59
10/3/2023,504.55,509.57,491.68,495.46
10/2/2023,511.51,513.61,499.67,506.99
9/29/2023,526.86,529.69,512.27,513.08
9/28/2023,513.99,523.04,513.01,521.5
9/27/2023,519.46,522.23,503.3,511.94
9/26/2023,511.6,526.06,511.6,516.26
