Date,Open,High,Low,Close
5/17/2024,"16,708.49","16,726.41","16,613.84","16,685.97"
5/16/2024,"16,738.11","16,797.83","16,693.45","16,698.32"
5/15/2024,"16,601.14","16,749.74","16,544.09","16,742.39"
5/14/2024,"16,391.16","16,526.27","16,386.44","16,511.18"
5/13/2024,"16,400.31","16,407.05","16,334.86","16,388.24"
5/10/2024,"16,389.02","16,437.39","16,293.52","16,340.87"
5/9/2024,"16,323.74","16,362.79","16,241.98","16,346.26"
5/8/2024,"16,226.07","16,341.65","16,226.07","16,302.76"
5/7/2024,"16,358.34","16,397.39","16,303.84","16,332.55"
5/6/2024,"16,208.54","16,350.08","16,197.86","16,349.25"
5/3/2024,"16,147.48","16,204.71","16,068.34","16,156.33"
5/2/2024,"15,758.11","15,862.79","15,604.73","15,840.96"
5/1/2024,"15,646.09","15,926.22","15,557.64","15,605.48"
4/30/2024,"15,920.89","15,979.36","15,655.67","15,657.82"
4/29/2024,"16,007.00","16,021.50","15,885.89","15,983.08"
4/26/2024,"15,821.33","15,981.00","15,770.72","15,927.90"
4/25/2024,"15,375.26","15,644.51","15,343.91","15,611.76"
4/24/2024,"15,805.60","15,839.00","15,634.44","15,712.75"
4/23/2024,"15,525.55","15,730.35","15,510.58","15,696.64"
4/22/2024,"15,396.13","15,539.00","15,265.66","15,451.30"
4/19/2024,"15,547.10","15,576.70","15,222.78","15,282.01"
4/18/2024,"15,705.70","15,786.12","15,587.50","15,601.50"
4/17/2024,"15,942.29","15,957.03","15,654.51","15,683.37"
4/16/2024,"15,856.38","15,965.79","15,822.02","15,865.25"
4/15/2024,"16,276.47","16,295.27","15,863.88","15,885.02"
4/12/2024,"16,293.03","16,341.46","16,125.33","16,175.09"
4/11/2024,"16,236.20","16,464.60","16,154.65","16,442.20"
4/10/2024,"16,104.01","16,200.10","16,092.02","16,170.36"
4/9/2024,"16,328.76","16,348.18","16,141.15","16,306.64"
4/8/2024,"16,285.18","16,323.60","16,220.72","16,253.96"
4/5/2024,"16,095.40","16,326.50","16,080.49","16,248.52"
4/4/2024,"16,418.57","16,468.04","16,046.56","16,049.08"
4/3/2024,"16,178.79","16,340.74","16,169.31","16,277.46"
4/2/2024,"16,199.24","16,251.41","16,137.24","16,240.45"
4/1/2024,"16,397.05","16,490.65","16,327.89","16,396.83"
3/28/2024,"16,377.23","16,420.92","16,347.38","16,379.46"
3/27/2024,"16,424.76","16,431.82","16,279.17","16,399.52"
3/26/2024,"16,446.85","16,476.38","16,312.95","16,315.70"
3/25/2024,"16,335.30","16,441.17","16,315.72","16,384.47"
3/22/2024,"16,387.83","16,467.62","16,361.00","16,428.82"
3/21/2024,"16,517.24","16,538.86","16,393.90","16,401.84"
3/20/2024,"16,185.76","16,377.44","16,127.48","16,369.41"
3/19/2024,"16,031.93","16,175.59","15,951.86","16,166.79"
3/18/2024,"16,154.92","16,247.59","16,094.17","16,103.45"
3/15/2024,"16,043.58","16,055.33","15,925.91","15,973.17"
3/14/2024,"16,209.19","16,245.32","16,039.68","16,128.53"
3/13/2024,"16,220.11","16,233.29","16,143.34","16,177.77"
3/12/2024,"16,116.98","16,275.45","15,992.98","16,265.64"
3/11/2024,"16,052.63","16,085.95","15,978.04","16,019.27"
3/8/2024,"16,322.10","16,449.70","16,059.50","16,085.11"
3/7/2024,"16,147.32","16,309.02","16,096.01","16,273.38"
3/6/2024,"16,092.00","16,128.56","15,956.66","16,031.54"
3/5/2024,"16,077.74","16,087.57","15,862.63","15,939.59"
3/4/2024,"16,264.21","16,289.06","16,199.06","16,207.51"
3/1/2024,"16,109.83","16,302.24","16,096.60","16,274.94"
2/29/2024,"16,059.34","16,115.96","15,931.70","16,091.92"
2/28/2024,"15,969.14","16,003.56","15,924.72","15,947.74"
2/27/2024,"16,013.98","16,046.10","15,940.51","16,035.30"
2/26/2024,"16,014.45","16,054.90","15,973.90","15,976.25"
2/23/2024,"16,094.80","16,134.22","15,954.50","15,996.82"
2/22/2024,"15,904.48","16,061.82","15,869.24","16,041.62"
2/21/2024,"15,532.12","15,583.68","15,451.65","15,580.87"
2/20/2024,"15,679.84","15,730.47","15,508.50","15,630.78"
2/16/2024,"15,910.43","15,917.41","15,752.02","15,775.65"
2/15/2024,"15,865.30","15,911.22","15,779.71","15,906.17"
