Date,Open,High,Low,Close
5/17/2024,85.29,87.65,84.85,87.39
5/16/2024,85.3,85.82,85.15,85.22
5/15/2024,84.85,85.54,84.4,85.26
5/14/2024,83.83,84.25,83.5,84.06
5/13/2024,83.91,84.67,83.21,83.28
5/10/2024,85.25,85.44,83.12,83.54
5/9/2024,82.96,84.59,82.96,84.59
5/8/2024,82.36,82.63,81.54,82.1
5/7/2024,84.45,84.87,82.96,83.13
5/6/2024,82.13,83.74,82.13,83.32
5/3/2024,80.94,81.31,80.55,81.07
5/2/2024,79.4,80.63,78.9,80.46
5/1/2024,79.15,79.86,78.13,78.82
4/30/2024,79.21,79.21,76.62,76.74
4/29/2024,78.5,79.4,78.19,79.33
4/26/2024,76.89,78.01,76.4,77.87
4/25/2024,75.99,77.32,75.64,76.97
4/24/2024,76.66,76.98,76.07,76.35
4/23/2024,75.9,76.85,75.61,76.74
4/22/2024,76.09,76.6,75.35,76.12
4/19/2024,76.29,76.76,75.76,76.08
4/18/2024,76.42,76.95,75.76,76.34
4/17/2024,76.7,77.38,75.86,76.15
4/16/2024,76.57,76.73,74.47,76.18
4/15/2024,79.47,79.64,76.4,76.89
4/12/2024,80,80.84,78.11,78.56
4/11/2024,78.8,80,77.8,79.89
4/10/2024,77.33,78.61,77.04,78.6
4/9/2024,79.42,79.66,77.9,78.54
4/8/2024,80.11,80.11,78.31,78.78
4/5/2024,78.77,79.88,78.55,79.55
4/4/2024,81.22,81.22,78.47,78.79
4/3/2024,78.79,80.9,78.79,80.52
4/2/2024,77.51,78.62,77.47,78.62
4/1/2024,76.57,78.35,76.48,78.29
3/28/2024,75.68,76.34,75.6,75.96
3/27/2024,75.19,75.45,74.74,75.41
3/26/2024,75.36,75.58,74.7,74.84
3/25/2024,75.55,76.38,75.25,75.29
3/22/2024,75.34,75.85,75.2,75.35
3/21/2024,75.59,75.9,75.1,75.15
3/20/2024,73.57,75.51,73.44,75.26
3/19/2024,73.31,73.71,72.71,73.31
3/18/2024,73.91,73.91,72.89,73.62
3/15/2024,72.56,74,72.56,73.47
3/14/2024,72.85,72.85,71.53,72.22
3/13/2024,74.45,75.1,72.82,73.11
3/12/2024,74.68,74.78,73.23,73.93
3/11/2024,74.39,74.39,73.84,73.96
3/8/2024,77.32,77.49,73.95,74.39
3/7/2024,75.3,77.49,75.3,77.36
3/6/2024,75.42,75.73,75.1,75.26
3/5/2024,74.74,75.62,74,74.13
3/4/2024,75.39,75.56,74.27,74.32
3/1/2024,73.1,75.01,72.86,74.76
2/29/2024,74.27,74.42,72.69,73.08
2/28/2024,73.64,73.68,73.14,73.33
2/27/2024,71.02,73.46,70.87,73.2
2/26/2024,70.23,71.44,70.15,70.84
2/23/2024,71.23,71.42,70.43,70.43
2/22/2024,72.7,72.79,71.31,71.43
2/21/2024,71.54,72.7,71.28,72.45
2/20/2024,73.2,73.55,71.46,71.88
2/16/2024,73.42,73.62,73.02,73.05
2/15/2024,73.83,73.9,73.19,73.67
2/14/2024,73.75,73.99,73.18,73.75
2/13/2024,74.44,74.44,72.54,73.23
2/12/2024,74.63,75.14,74.34,74.68
2/9/2024,74.48,75.57,74,74.75
2/8/2024,77.59,77.59,75.08,75.49
2/7/2024,77.26,77.81,77,77.81
2/6/2024,76.83,77.75,76.54,77.17
2/5/2024,77.73,77.73,76.25,76.86
2/2/2024,78.93,78.93,77.75,77.83
2/1/2024,76.91,78.9,76.55,78.9
1/31/2024,76.49,76.72,75.6,75.78
1/30/2024,75.01,76.29,74.9,76.09
1/29/2024,74.32,75.39,73.6,75.39
1/26/2024,74.7,75.05,74.5,74.94
1/25/2024,75.72,75.72,74.4,74.7
1/24/2024,76.54,76.72,75.17,75.19
1/23/2024,74.09,75.68,74.09,75.68
1/22/2024,75.11,75.43,74,74
1/19/2024,76.09,76.09,74.78,75.91
1/18/2024,76.86,76.97,75.5,76.54
1/17/2024,76.71,76.71,75.48,75.91
1/16/2024,78.17,78.78,77.34,77.63
1/12/2024,76.12,78.88,76.12,78.11
1/11/2024,74.67,75.01,73.34,75.01
1/10/2024,74.28,75.25,74.11,74.47
1/9/2024,71.76,74.04,71.51,73.66
1/8/2024,71.59,72.06,71.17,72.06
1/5/2024,71.35,71.88,71.01,71.42
1/4/2024,70.93,71.74,70.93,71.39
1/3/2024,71.03,71.49,70.53,71.01
1/2/2024,71.74,71.94,70.75,71.1
12/29/2023,71.3,72.08,71.3,71.72
12/28/2023,71.91,72.02,71.2,71.2
12/27/2023,72.68,72.77,72.14,72.33
12/26/2023,72.27,72.78,71.84,72.71
12/22/2023,72.02,72.82,71.79,71.8
12/21/2023,70.67,71.31,70.67,71.27
12/20/2023,70.29,70.8,69.5,69.61
12/19/2023,71.35,71.48,70.2,70.24
