gold_close,gold_high,gold_low,gold_open,copper,MSCI,NASDAQ,RUT,silver,SP500
2417.4,2427.4,2377.8,2381.4,5.05,505.33,16685.97,2095.72,31.259,5303.27
2385.5,2402.7,2375.2,2391.5,4.877,497.51,16698.32,2096.25,29.876,5297.1
2394.9,2396.1,2357.1,2362.9,4.9245,490.06,16742.39,2109.46,29.729,5308.15
2359.9,2365.2,2340.5,2342.3,4.895,488.11,16511.18,2085.69,28.702,5246.68
2343.0,2370.8,2337.6,2369.1,4.766,485.51,16388.24,2062.12,28.443,5221.42
2375.0,2385.3,2352.0,2353.5,4.6625,484.89,16340.87,2059.78,28.506,5222.68
2340.3,2354.2,2312.9,2316.5,4.585,482.5,16346.26,2073.63,28.365,5214.08
2322.3,2329.6,2311.4,2322.0,4.5425,470.75,16302.76,2055.14,27.601,5187.67
2324.2,2338.7,2318.2,2334.8,4.6055,471.34,16332.55,2064.65,27.544,5187.7
2331.2,2341.9,2300.6,2312.8,4.615,475.49,16349.25,2060.68,27.614,5180.74
2308.6,2330.7,2285.2,2313.5,4.557,466.98,16156.33,2035.72,26.69,5127.79
2309.6,2336.1,2294.3,2329.9,4.4845,467.7,15840.96,2016.11,26.829,5064.2
2311.0,2339.5,2291.7,2298.2,4.546,470.03,15605.48,1980.23,26.748,5018.39
2302.9,2347.6,2296.2,2347.0,4.5645,465.79,15657.82,1973.91,26.654,5035.69
2357.7,2358.9,2331.0,2347.6,4.6765,476.98,15983.08,2016.03,27.66,5116.17
2335.0,2350.5,2326.6,2333.1,4.569,477.78,15927.9,2002.0,27.402,5099.96
2330.3,2344.8,2306.4,2317.8,4.5315,464.49,15611.76,1981.12,27.502,5048.42
2326.0,2338.0,2313.6,2324.0,4.4765,464.65,15712.75,1995.43,27.496,5071.63
2329.9,2336.0,2293.6,2332.2,4.4495,446.0,15696.64,2002.64,27.511,5070.55
2334.6,2391.5,2327.3,2391.5,4.4935,515.17,15451.3,1967.47,27.397,5010.6
2401.4,2418.1,2374.7,2381.1,4.4975,510.07,15282.01,1947.66,28.808,4967.23
2385.8,2395.7,2366.1,2366.1,4.4365,505.76,15601.5,1942.96,28.329,5011.12
2376.2,2399.5,2359.9,2387.9,4.3395,511.83,15683.37,1947.95,28.346,5022.21
2395.5,2402.2,2367.4,2387.0,4.3035,513.43,15865.25,1967.48,28.318,5051.41
2370.9,2392.0,2330.1,2357.3,4.379,513.06,15885.02,1975.71,28.651,5061.82
2374.1,2448.8,2350.6,2389.4,4.2585,526.62,16175.09,2003.17,28.33,5123.4
2372.7,2395.6,2343.1,2351.7,4.253,534.49,16442.2,2042.6,28.25,5199.1
2348.4,2378.1,2337.1,2372.4,4.282,533.05,16170.36,2028.39,28.052,5160.6
2362.4,2384.5,2355.7,2358.1,4.2855,554.72,16306.64,2080.8,27.984,5209.9
2351.0,2372.5,2321.7,2343.6,4.276,549.06,16253.96,2073.71,27.807,5202.4
2345.4,2350.0,2286.2,2309.5,4.236,542.39,16248.52,2063.47,27.503,5204.3
2308.5,2325.3,2298.7,2321.0,4.249,533.58,16049.08,2053.83,27.247,5147.2
2315.0,2321.8,2285.7,2301.7,4.194,540.0,16277.46,2076.2,27.06,5211.5
2281.8,2301.9,2267.1,2272.7,4.0705,542.29,16240.45,2065.04,25.923,5205.8
2257.1,2286.4,2249.1,2259.2,4.0485,554.83,16396.83,2102.84,25.073,5243.8
2254.8,2254.8,2254.8,2254.8,4.0115,560.45,16379.46,2124.55,25.1,5254.4
2238.4,2256.9,2207.5,2215.7,4.007,560.45,16379.46,2124.55,24.916,5254.4
2212.7,2218.3,2193.7,2200.5,4.0,557.0,16399.52,2114.35,24.752,5248.5
2187.8,2210.7,2179.3,2183.0,3.9995,551.68,16315.7,2070.16,24.5,5203.6
2186.8,2192.7,2175.0,2177.5,4.0085,551.34,16384.47,2074.16,24.762,5218.2
2170.2,2198.0,2169.3,2193.3,4.0075,553.11,16428.82,2072.0,24.717,5234.2
