Date,Open,High,Low,Close
5/17/2024,"2,103.67","2,104.13","2,090.44","2,095.72"
5/16/2024,"2,107.09","2,107.36","2,095.82","2,096.25"
5/15/2024,"2,105.42","2,112.32","2,095.43","2,109.46"
5/14/2024,"2,078.74","2,088.36","2,076.03","2,085.69"
5/13/2024,"2,072.14","2,081.46","2,062.12","2,062.12"
5/10/2024,"2,079.95","2,082.04","2,054.88","2,059.78"
5/9/2024,"2,056.98","2,075.38","2,053.05","2,073.63"
5/8/2024,"2,050.78","2,055.65","2,043.85","2,055.14"
5/7/2024,"2,062.16","2,077.81","2,062.16","2,064.65"
5/6/2024,"2,048.51","2,064.29","2,048.51","2,060.68"
5/3/2024,"2,044.22","2,054.85","2,030.82","2,035.72"
5/2/2024,"1,998.32","2,016.50","1,984.68","2,016.11"
5/1/2024,"1,973.37","2,017.70","1,968.03","1,980.23"
4/30/2024,"2,001.71","2,003.41","1,973.85","1,973.91"
4/29/2024,"2,005.10","2,020.63","2,005.10","2,016.03"
4/26/2024,"1,984.53","2,005.01","1,984.42","2,002.00"
4/25/2024,"1,980.53","1,984.49","1,957.82","1,981.12"
4/24/2024,"2,000.45","2,006.13","1,983.62","1,995.43"
4/23/2024,"1,969.74","2,010.48","1,969.64","2,002.64"
4/22/2024,"1,953.24","1,978.43","1,947.86","1,967.47"
4/19/2024,"1,935.77","1,956.30","1,931.54","1,947.66"
4/18/2024,"1,951.24","1,971.39","1,941.32","1,942.96"
4/17/2024,"1,977.29","1,982.84","1,947.75","1,947.95"
4/16/2024,"1,965.85","1,976.21","1,953.01","1,967.48"
4/15/2024,"2,010.91","2,016.66","1,968.11","1,975.71"
4/12/2024,"2,031.08","2,032.94","1,994.83","2,003.17"
4/11/2024,"2,036.23","2,045.04","2,021.51","2,042.60"
4/10/2024,"2,043.22","2,044.27","2,016.55","2,028.39"
4/9/2024,"2,079.35","2,084.07","2,065.13","2,080.80"
4/8/2024,"2,074.69","2,079.03","2,066.12","2,073.71"
4/5/2024,"2,051.88","2,073.32","2,048.25","2,063.47"
4/4/2024,"2,089.07","2,101.47","2,051.32","2,053.83"
4/3/2024,"2,056.69","2,080.40","2,052.10","2,076.20"
4/2/2024,"2,087.42","2,087.42","2,054.34","2,065.04"
4/1/2024,"2,125.91","2,126.06","2,100.15","2,102.84"
3/28/2024,"2,115.77","2,135.46","2,115.77","2,124.55"
3/27/2024,"2,079.70","2,114.65","2,079.70","2,114.35"
3/26/2024,"2,083.44","2,093.52","2,070.00","2,070.16"
3/25/2024,"2,075.06","2,088.48","2,074.16","2,074.16"
3/22/2024,"2,098.03","2,099.11","2,071.79","2,072.00"
3/21/2024,"2,087.85","2,106.31","2,087.85","2,098.56"
3/20/2024,"2,030.38","2,081.33","2,028.57","2,074.88"
3/19/2024,"2,012.03","2,039.83","2,009.81","2,035.71"
3/18/2024,"2,042.12","2,044.07","2,024.57","2,024.74"
3/15/2024,"2,020.63","2,041.88","2,018.95","2,039.32"
3/14/2024,"2,064.28","2,064.28","2,017.28","2,031.18"
3/13/2024,"2,062.75","2,080.19","2,062.35","2,071.71"
3/12/2024,"2,066.15","2,072.95","2,052.93","2,065.48"
3/11/2024,"2,075.74","2,079.97","2,063.78","2,065.88"
3/8/2024,"2,099.60","2,115.95","2,075.90","2,082.71"
3/7/2024,"2,079.32","2,090.79","2,079.32","2,084.74"
3/6/2024,"2,069.82","2,075.65","2,059.86","2,068.09"
3/5/2024,"2,060.73","2,072.30","2,048.13","2,053.71"
3/4/2024,"2,087.63","2,091.80","2,071.99","2,074.31"
3/1/2024,"2,058.48","2,077.97","2,052.43","2,076.40"
2/29/2024,"2,060.73","2,072.97","2,044.80","2,054.84"
2/28/2024,"2,043.04","2,053.52","2,038.63","2,040.31"
2/27/2024,"2,046.57","2,058.06","2,045.37","2,056.11"
2/26/2024,"2,012.93","2,031.96","2,011.87","2,028.97"
2/23/2024,"2,011.45","2,026.43","2,004.64","2,016.69"
2/22/2024,"2,003.51","2,016.83","1,998.80","2,013.84"
2/21/2024,"1,993.44","1,997.60","1,982.44","1,994.74"
2/20/2024,"2,008.78","2,011.54","1,998.09","2,004.14"
2/16/2024,"2,049.88","2,052.98","2,032.16","2,032.74"
2/15/2024,"2,027.53","2,062.80","2,027.06","2,061.48"
2/14/2024,"1,992.13","2,014.06","1,983.10","2,012.10"
2/13/2024,"1,987.26","1,992.98","1,950.47","1,964.17"
2/12/2024,"2,014.69","2,052.00","2,014.69","2,045.26"
2/9/2024,"1,984.11","2,010.77","1,984.11","2,009.99"
2/8/2024,"1,949.76","1,980.15","1,948.64","1,979.70"
2/7/2024,"1,954.36","1,958.07","1,939.97","1,950.36"
2/6/2024,"1,936.77","1,954.04","1,932.08","1,953.63"
2/5/2024,"1,951.78","1,951.78","1,921.36","1,937.24"
2/2/2024,"1,950.78","1,971.51","1,944.60","1,962.73"
2/1/2024,"1,959.58","1,974.42","1,936.23","1,974.42"
1/31/2024,"1,989.32","2,003.15","1,946.89","1,947.34"
1/30/2024,"2,002.36","2,005.22","1,990.82","1,996.24"
1/29/2024,"1,978.14","2,011.65","1,972.78","2,011.42"
1/26/2024,"1,986.67","1,993.44","1,974.63","1,978.33"
1/25/2024,"1,987.25","1,989.21","1,963.89","1,975.88"
1/24/2024,"2,000.18","2,000.18","1,960.48","1,961.87"
1/23/2024,"2,000.59","2,001.14","1,969.94","1,976.27"
1/22/2024,"1,960.94","1,984.12","1,960.94","1,983.38"
1/19/2024,"1,934.09","1,944.39","1,914.47","1,944.39"
1/18/2024,"1,924.01","1,926.05","1,901.65","1,923.65"
1/17/2024,"1,899.18","1,914.21","1,898.25","1,913.17"
1/16/2024,"1,934.64","1,939.81","1,921.81","1,927.30"
1/12/2024,"1,977.88","1,983.81","1,947.50","1,950.96"
1/11/2024,"1,963.11","1,964.23","1,934.32","1,955.46"
1/10/2024,"1,965.47","1,971.25","1,953.00","1,970.26"
1/9/2024,"1,964.73","1,975.23","1,957.42","1,968.04"
1/8/2024,"1,948.90","1,989.01","1,944.86","1,989.01"
1/5/2024,"1,943.50","1,967.99","1,941.77","1,951.14"
1/4/2024,"1,964.35","1,970.54","1,956.70","1,957.73"
1/3/2024,"2,012.75","2,032.49","1,958.03","1,959.20"
1/2/2024,"2,012.75","2,032.49","2,003.41","2,012.80"
12/29/2023,"2,054.23","2,056.62","2,027.07","2,027.07"
12/28/2023,"2,058.18","2,068.85","2,053.64","2,058.34"
12/27/2023,"2,063.59","2,071.78","2,056.37","2,066.21"
12/26/2023,"2,043.14","2,064.64","2,039.35","2,059.19"
12/22/2023,"2,028.22","2,042.47","2,025.75","2,033.96"
12/21/2023,"2,005.82","2,017.18","1,997.45","2,017.07"
12/20/2023,"2,016.87","2,039.81","1,982.56","1,982.84"
12/19/2023,"1,996.33","2,024.25","1,995.24","2,020.95"
12/18/2023,"1,991.61","1,996.51","1,980.75","1,982.42"
12/15/2023,"2,005.15","2,009.08","1,975.13","1,985.13"
12/14/2023,"1,966.88","2,008.66","1,966.88","2,000.52"
12/13/2023,"1,882.14","1,948.05","1,870.35","1,947.51"
12/12/2023,"1,883.18","1,887.95","1,871.01","1,881.27"
12/11/2023,"1,879.66","1,885.42","1,873.58","1,883.68"
12/8/2023,"1,866.77","1,887.81","1,863.66","1,880.82"
12/7/2023,"1,854.53","1,868.25","1,848.78","1,868.25"
12/6/2023,"1,864.23","1,888.72","1,851.96","1,852.05"
12/5/2023,"1,876.60","1,876.60","1,855.05","1,856.04"
12/4/2023,"1,857.17","1,882.09","1,854.38","1,882.02"
12/1/2023,"1,806.13","1,863.66","1,800.81","1,862.64"
11/30/2023,"1,808.62","1,816.53","1,805.22","1,809.02"
11/29/2023,"1,804.23","1,827.06","1,801.91","1,803.81"
11/28/2023,"1,799.71","1,804.11","1,789.20","1,792.81"
11/27/2023,"1,801.03","1,804.50","1,790.95","1,801.15"
11/24/2023,"1,795.00","1,810.26","1,794.70","1,807.50"
11/22/2023,"1,792.51","1,803.12","1,789.88","1,795.54"
11/21/2023,"1,799.33","1,799.33","1,783.26","1,783.26"
11/20/2023,"1,798.56","1,809.21","1,794.71","1,807.08"
11/17/2023,"1,784.86","1,798.44","1,784.86","1,797.77"
11/16/2023,"1,797.00","1,797.00","1,767.42","1,773.76"
11/15/2023,"1,798.20","1,830.00","1,797.60","1,801.22"
11/14/2023,"1,741.74","1,798.33","1,741.74","1,798.32"
11/13/2023,"1,698.74","1,709.57","1,690.92","1,705.50"
11/10/2023,"1,692.77","1,709.24","1,684.20","1,705.33"
11/9/2023,"1,720.70","1,724.83","1,685.27","1,687.24"
11/8/2023,"1,732.96","1,733.11","1,709.24","1,714.07"
11/7/2023,"1,733.73","1,739.26","1,723.55","1,733.15"
11/6/2023,"1,760.18","1,760.86","1,731.68","1,737.94"
11/3/2023,"1,733.61","1,770.58","1,733.61","1,760.71"
11/2/2023,"1,684.45","1,714.61","1,684.45","1,714.21"
11/1/2023,"1,661.41","1,669.79","1,649.06","1,669.70"
10/31/2023,"1,648.60","1,663.50","1,644.99","1,662.28"
10/30/2023,"1,646.36","1,657.32","1,635.41","1,647.29"
10/27/2023,"1,660.74","1,661.19","1,633.67","1,636.94"
10/26/2023,"1,656.61","1,670.09","1,648.83","1,657.00"
10/25/2023,"1,666.84","1,668.17","1,649.85","1,651.43"
10/24/2023,"1,677.74","1,690.41","1,671.27","1,679.50"
10/23/2023,"1,671.76","1,687.74","1,662.64","1,665.89"
10/20/2023,"1,705.56","1,706.02","1,680.09","1,680.79"
10/19/2023,"1,725.71","1,734.59","1,700.24","1,702.70"
10/18/2023,"1,752.92","1,752.92","1,727.24","1,728.81"
10/17/2023,"1,735.75","1,779.85","1,735.71","1,766.05"
10/16/2023,"1,734.13","1,749.21","1,728.18","1,747.06"
10/13/2023,"1,738.09","1,740.57","1,715.32","1,719.71"
10/12/2023,"1,774.34","1,774.92","1,725.44","1,734.25"
10/11/2023,"1,777.57","1,786.64","1,761.81","1,773.30"
10/10/2023,"1,759.52","1,785.89","1,759.52","1,775.95"
10/9/2023,"1,738.39","1,761.02","1,735.73","1,755.99"
10/6/2023,"1,723.71","1,754.25","1,713.92","1,745.56"
10/5/2023,"1,724.69","1,734.31","1,717.34","1,731.51"
10/4/2023,"1,727.09","1,731.23","1,709.59","1,729.01"
10/3/2023,"1,749.19","1,749.19","1,721.48","1,727.15"
10/2/2023,"1,780.86","1,782.02","1,749.43","1,756.82"
9/29/2023,"1,805.47","1,809.69","1,781.05","1,785.10"
9/28/2023,"1,778.03","1,802.61","1,777.90","1,794.31"
9/27/2023,"1,771.16","1,786.60","1,765.64","1,778.90"
9/26/2023,"1,774.64","1,786.05","1,761.61","1,761.61"
9/25/2023,"1,768.67","1,788.04","1,766.54","1,784.24"
9/22/2023,"1,787.52","1,791.14","1,776.50","1,776.50"
9/21/2023,"1,795.22","1,795.80","1,781.82","1,781.83"
9/20/2023,"1,834.44","1,843.50","1,810.08","1,810.10"
9/19/2023,"1,834.39","1,840.56","1,823.05","1,826.53"
9/18/2023,"1,847.71","1,847.71","1,834.30","1,834.30"
9/15/2023,"1,861.56","1,861.68","1,840.00","1,847.03"
9/14/2023,"1,855.30","1,868.17","1,854.37","1,866.63"
9/13/2023,"1,855.25","1,857.00","1,837.56","1,840.84"
9/12/2023,"1,851.57","1,864.33","1,851.29","1,855.32"
9/11/2023,"1,863.11","1,866.55","1,853.88","1,855.14"
9/8/2023,"1,856.05","1,857.86","1,848.60","1,851.55"
9/7/2023,"1,871.62","1,871.62","1,848.72","1,855.76"
9/6/2023,"1,880.74","1,890.83","1,864.46","1,874.28"
9/5/2023,"1,916.28","1,916.28","1,880.45","1,880.45"
9/1/2023,"1,908.17","1,926.81","1,908.17","1,920.83"
8/31/2023,"1,904.36","1,913.20","1,898.95","1,899.68"
8/30/2023,"1,893.47","1,908.89","1,889.28","1,903.21"
8/29/2023,"1,868.68","1,896.66","1,864.15","1,895.54"
8/28/2023,"1,859.33","1,877.45","1,859.33","1,869.01"
8/25/2023,"1,850.61","1,861.85","1,831.95","1,853.63"
8/24/2023,"1,868.33","1,871.86","1,845.98","1,846.28"
8/23/2023,"1,851.86","1,873.48","1,849.83","1,870.03"
8/22/2023,"1,860.00","1,866.19","1,847.27","1,850.84"
8/21/2023,"1,860.13","1,863.71","1,846.30","1,856.01"
8/18/2023,"1,841.01","1,864.68","1,830.84","1,859.42"
8/17/2023,"1,874.16","1,877.83","1,850.06","1,850.06"
8/16/2023,"1,893.98","1,901.43","1,871.52","1,871.52"
8/15/2023,"1,913.63","1,913.63","1,895.76","1,895.76"
8/14/2023,"1,919.95","1,920.90","1,903.52","1,920.49"
8/11/2023,"1,918.20","1,929.38","1,914.10","1,925.11"
8/10/2023,"1,933.98","1,953.14","1,916.62","1,922.62"
8/9/2023,"1,946.66","1,946.66","1,925.13","1,930.77"
8/8/2023,"1,945.10","1,947.63","1,924.24","1,947.42"
8/7/2023,"1,959.12","1,961.49","1,944.81","1,958.94"
8/4/2023,"1,961.77","1,977.49","1,955.14","1,957.46"
8/3/2023,"1,962.40","1,970.54","1,948.70","1,961.40"
8/2/2023,"1,981.28","1,981.28","1,957.13","1,966.83"
8/1/2023,"1,996.89","1,996.89","1,976.79","1,994.17"
7/31/2023,"1,984.80","2,003.62","1,984.80","2,003.18"
7/28/2023,"1,964.97","1,983.84","1,964.97","1,981.54"
7/27/2023,"1,988.62","1,994.82","1,949.09","1,954.90"
7/26/2023,"1,964.58","1,984.78","1,962.49","1,980.36"
7/25/2023,"1,963.62","1,976.93","1,961.42","1,966.11"
7/24/2023,"1,961.04","1,973.32","1,958.33","1,965.68"
7/21/2023,"1,976.94","1,981.64","1,958.74","1,960.26"
7/20/2023,"1,984.52","1,984.52","1,960.17","1,967.16"
