Date,Open,High,Low,Close
5/17/2024,"5,303.10","5,305.45","5,283.59","5,303.27"
5/16/2024,"5,310.07","5,325.49","5,296.19","5,297.10"
5/15/2024,"5,263.26","5,311.76","5,263.26","5,308.15"
5/14/2024,"5,221.10","5,250.37","5,217.98","5,246.68"
5/13/2024,"5,233.08","5,237.26","5,211.16","5,221.42"
5/10/2024,"5,225.49","5,239.66","5,209.68","5,222.68"
5/9/2024,"5,189.03","5,215.30","5,180.41","5,214.08"
5/8/2024,"5,168.98","5,191.95","5,165.86","5,187.67"
5/7/2024,"5,187.20","5,200.23","5,178.96","5,187.70"
5/6/2024,"5,142.42","5,181.00","5,142.42","5,180.74"
5/3/2024,"5,122.78","5,139.12","5,101.22","5,127.79"
5/2/2024,"5,049.32","5,073.21","5,011.05","5,064.20"
5/1/2024,"5,029.03","5,096.12","5,013.45","5,018.39"
4/30/2024,"5,103.78","5,110.83","5,035.31","5,035.69"
4/29/2024,"5,114.13","5,123.49","5,088.65","5,116.17"
4/26/2024,"5,084.65","5,114.62","5,073.14","5,099.96"
4/25/2024,"5,019.88","5,057.75","4,990.58","5,048.42"
4/24/2024,"5,084.86","5,089.48","5,047.02","5,071.63"
4/23/2024,"5,028.85","5,076.12","5,027.96","5,070.55"
4/22/2024,"4,987.33","5,038.84","4,969.40","5,010.60"
4/19/2024,"5,005.44","5,019.02","4,953.56","4,967.23"
4/18/2024,"5,031.52","5,056.66","5,001.89","5,011.12"
4/17/2024,"5,068.97","5,077.96","5,007.25","5,022.21"
4/16/2024,"5,064.59","5,079.84","5,039.83","5,051.41"
4/15/2024,"5,149.67","5,168.43","5,052.47","5,061.82"
4/12/2024,"5,171.50","5,175.00","5,107.90","5,123.40"
4/11/2024,"5,172.90","5,211.80","5,138.80","5,199.10"
4/10/2024,"5,167.90","5,178.40","5,138.70","5,160.60"
4/9/2024,"5,217.00","5,224.80","5,160.80","5,209.90"
4/8/2024,"5,211.40","5,219.60","5,197.40","5,202.40"
4/5/2024,"5,158.90","5,222.20","5,157.20","5,204.30"
4/4/2024,"5,244.10","5,256.60","5,146.10","5,147.20"
