Date,Open,High,Low,Close
05/20/2024,"12.27","12.59","12.07","12.15"
05/17/2024,"12.28","12.48","11.91","11.99"
05/16/2024,"12.52","12.67","12.33","12.42"
05/15/2024,"13.73","13.94","12.38","12.45"
05/14/2024,"13.71","14.03","13.27","13.42"
05/13/2024,"13.26","13.66","13.25","13.60"
05/10/2024,"12.77","12.96","12.50","12.55"
05/09/2024,"13.08","13.29","12.68","12.69"
05/08/2024,"13.24","13.51","12.94","13.00"
05/07/2024,"13.52","13.64","13.16","13.23"
05/06/2024,"13.98","14.02","13.44","13.49"
05/03/2024,"14.51","14.58","13.48","13.49"
05/02/2024,"15.14","16.09","14.60","14.68"
05/01/2024,"15.75","16.22","14.35","15.39"
04/30/2024,"14.82","15.90","14.67","15.65"
04/29/2024,"15.37","15.42","14.63","14.67"
04/26/2024,"15.49","16.06","14.92","15.03"
04/25/2024,"16.25","17.55","15.27","15.37"
04/24/2024,"15.76","16.38","15.58","15.97"
04/23/2024,"16.72","16.76","15.69","15.69"
04/22/2024,"18.59","18.72","16.69","16.94"
04/19/2024,"21.33","21.36","18.17","18.71"
04/18/2024,"17.91","18.37","17.21","18.00"
04/17/2024,"18.24","19.11","17.54","18.21"
04/16/2024,"19.49","19.56","17.64","18.40"
04/15/2024,"16.94","19.46","16.26","19.23"
04/12/2024,"14.91","19.20","14.91","17.31"
04/11/2024,"16.02","17.61","14.91","14.91"
04/10/2024,"15.24","16.62","14.59","15.80"
04/09/2024,"15.34","16.63","14.94","14.98"
04/08/2024,"16.24","16.50","15.11","15.19"
04/05/2024,"16.45","16.75","15.53","16.03"
04/04/2024,"14.29","16.92","13.74","16.35"
04/03/2024,"15.00","15.18","14.25","14.33"
04/02/2024,"13.74","15.43","13.68","14.61"
04/01/2024,"13.61","14.15","13.55","13.65"
03/28/2024,"12.93","13.10","12.84","13.01"
03/27/2024,"13.13","13.34","12.66","12.78"
03/26/2024,"13.12","13.43","12.84","13.24"
03/25/2024,"13.67","13.67","13.11","13.19"
03/22/2024,"12.92","13.15","12.58","13.06"
03/21/2024,"12.98","13.08","12.40","12.92"
03/20/2024,"13.83","14.17","13.01","13.04"
03/19/2024,"14.50","14.86","13.80","13.82"
03/18/2024,"14.75","14.85","14.26","14.33"
03/15/2024,"14.33","15.53","14.14","14.41"
03/14/2024,"13.62","15.33","13.42","14.40"
03/13/2024,"13.89","14.04","13.67","13.75"
03/12/2024,"14.97","15.20","13.81","13.84"
03/11/2024,"15.51","16.04","15.13","15.22"
03/08/2024,"14.22","15.53","13.97","14.74"
03/07/2024,"14.98","14.98","14.25","14.44"
03/06/2024,"14.27","14.93","13.89","14.50"
03/05/2024,"13.75","15.10","13.75","14.46"
03/04/2024,"13.49","13.58","13.32","13.49"
03/01/2024,"13.34","13.66","13.08","13.11"
02/29/2024,"14.14","14.15","13.30","13.40"
02/28/2024,"13.52","13.90","13.44","13.84"
02/27/2024,"13.63","13.75","13.41","13.43"
02/26/2024,"14.17","14.20","13.66","13.74"
02/23/2024,"14.31","14.31","13.64","13.75"
02/22/2024,"14.28","14.64","14.12","14.54"
02/21/2024,"15.54","16.12","15.22","15.34"
02/20/2024,"15.09","15.91","15.07","15.42"
02/16/2024,"13.94","14.71","13.75","14.24"
02/15/2024,"14.27","14.64","13.94","14.01"
02/14/2024,"15.38","15.47","14.22","14.38"
02/13/2024,"13.96","17.94","13.43","15.85"
02/12/2024,"13.48","13.94","13.34","13.93"
02/09/2024,"12.79","13.01","12.69","12.93"
02/08/2024,"12.95","13.17","12.74","12.79"
02/07/2024,"13.06","13.13","12.81","12.83"
02/06/2024,"13.57","13.78","12.98","13.06"
02/05/2024,"14.37","14.53","13.58","13.67"
02/02/2024,"13.95","14.23","13.39","13.85"
02/01/2024,"14.21","14.63","13.87","13.88"
01/31/2024,"13.42","14.61","13.18","14.35"
01/30/2024,"13.69","13.74","13.23","13.31"
01/29/2024,"13.98","15.35","13.59","13.60"
01/26/2024,"13.73","14.10","13.20","13.26"
01/25/2024,"13.18","13.58","13.06","13.45"
01/24/2024,"12.66","13.18","12.41","13.14"
01/23/2024,"13.20","13.29","12.53","12.55"
01/22/2024,"13.77","13.84","13.17","13.19"
01/19/2024,"13.80","14.58","13.28","13.30"
01/18/2024,"14.85","14.89","13.89","14.13"
01/17/2024,"14.59","15.40","14.38","14.79"
01/16/2024,"14.12","14.35","13.52","13.84"
01/15/2024,"12.66","13.08","12.47","12.70"
01/12/2024,"12.66","13.08","12.47","12.70"
01/11/2024,"12.64","13.31","12.35","12.44"
01/10/2024,"12.86","12.95","12.67","12.69"
01/09/2024,"13.20","13.45","12.74","12.76"
01/08/2024,"14.00","14.18","13.02","13.08"
01/05/2024,"14.24","14.58","13.29","13.35"
01/04/2024,"13.93","14.20","13.64","14.13"
01/03/2024,"13.35","14.22","13.33","14.04"
01/02/2024,"13.22","14.23","13.10","13.20"
12/29/2023,"12.55","13.19","12.36","12.45"
12/28/2023,"12.44","12.65","12.38","12.47"
12/27/2023,"13.02","13.04","12.37","12.43"
12/26/2023,"13.77","13.80","12.96","12.99"
12/22/2023,"13.72","13.96","13.00","13.03"
12/21/2023,"13.40","14.49","13.34","13.65"
12/20/2023,"12.63","13.93","12.29","13.67"
12/19/2023,"12.60","12.60","12.33","12.53"
12/18/2023,"12.62","12.64","12.40","12.56"
12/15/2023,"12.12","12.54","12.01","12.28"
12/14/2023,"11.96","12.74","11.84","12.48"
12/13/2023,"12.20","12.46","11.82","12.19"
12/12/2023,"12.69","12.74","11.81","12.07"
12/11/2023,"13.05","13.14","12.61","12.63"
12/08/2023,"13.14","13.24","12.35","12.35"
12/07/2023,"13.17","13.28","12.95","13.06"
12/06/2023,"12.78","13.03","12.64","12.97"
12/05/2023,"13.26","13.76","12.81","12.85"
12/04/2023,"13.28","13.70","12.98","13.08"
12/01/2023,"12.94","12.96","12.48","12.63"
11/30/2023,"13.07","13.39","12.82","12.92"
11/29/2023,"12.71","13.10","12.48","12.98"
11/28/2023,"12.78","14.30","12.56","12.69"
11/27/2023,"13.14","13.28","12.64","12.69"
11/24/2023,"13.03","13.17","12.45","12.46"
