Date,Open,High,Low,Close
5/17/2024,4.8825,5.0895,4.8485,5.05
5/16/2024,4.9225,5.02,4.8415,4.877
5/15/2024,4.9,5.128,4.814,4.9245
5/14/2024,4.77,5.026,4.7665,4.895
5/13/2024,4.653,4.776,4.616,4.766
5/10/2024,4.6015,4.7455,4.597,4.6625
5/9/2024,4.5415,4.6035,4.5185,4.585
5/8/2024,4.5915,4.598,4.505,4.5425
5/7/2024,4.6095,4.645,4.567,4.6055
5/6/2024,4.5755,4.6385,4.5355,4.615
5/3/2024,4.502,4.569,4.483,4.557
5/2/2024,4.569,4.582,4.466,4.4845
5/1/2024,4.541,4.5975,4.5125,4.546
4/30/2024,4.679,4.6945,4.54,4.5645
4/29/2024,4.5815,4.681,4.566,4.6765
4/26/2024,4.555,4.6095,4.5395,4.569
4/25/2024,4.476,4.572,4.464,4.5315
4/24/2024,4.4395,4.5075,4.4355,4.4765
4/23/2024,4.4975,4.5005,4.407,4.4495
4/22/2024,4.5125,4.563,4.4785,4.4935
4/19/2024,4.43,4.5135,4.3965,4.4975
4/18/2024,4.3425,4.4485,4.3215,4.4365
4/17/2024,4.2955,4.38,4.284,4.3395
4/16/2024,4.3785,4.379,4.277,4.3035
4/15/2024,4.3525,4.3965,4.2705,4.379
4/12/2024,4.2605,4.362,4.2495,4.2585
4/11/2024,4.2775,4.2995,4.2285,4.253
4/10/2024,4.3,4.335,4.241,4.282
4/9/2024,4.294,4.3335,4.2525,4.2855
4/8/2024,4.236,4.3045,4.1725,4.276
4/5/2024,4.22,4.244,4.1665,4.236
4/4/2024,4.2125,4.2565,4.201,4.249
4/3/2024,4.082,4.217,4.069,4.194
4/2/2024,4.0565,4.0965,4.042,4.0705
4/1/2024,4.031,4.078,4.025,4.0485
3/29/2024,4.0115,4.0115,4.0115,4.0115
3/28/2024,4.012,4.0395,3.984,4.007
3/27/2024,4.005,4.0165,3.9675,4
3/26/2024,4.0105,4.013,3.9755,3.9995
3/25/2024,3.992,4.038,3.99,4.0085
3/22/2024,4.0655,4.0665,3.9965,4.0075
3/21/2024,4.09,4.128,4.041,4.0585
3/20/2024,4.068,4.0955,4.027,4.0515
3/19/2024,4.1355,4.1365,4.0575,4.0745
3/18/2024,4.121,4.164,4.102,4.13
3/15/2024,4.0515,4.137,4.045,4.1245
3/14/2024,4.06,4.081,4.0175,4.0455
3/13/2024,3.9375,4.069,3.919,4.06
3/12/2024,3.9315,3.952,3.902,3.932
3/11/2024,3.8935,3.932,3.8785,3.9285
3/8/2024,3.9255,3.9465,3.8815,3.8915
3/7/2024,3.8725,3.942,3.8695,3.926
3/6/2024,3.8435,3.897,3.837,3.875
3/5/2024,3.8575,3.8735,3.838,3.847
3/4/2024,3.8575,3.888,3.8435,3.857
3/1/2024,3.847,3.873,3.818,3.8615
2/29/2024,3.839,3.8685,3.834,3.847
2/28/2024,3.854,3.8545,3.8215,3.8405
2/27/2024,3.827,3.853,3.827,3.841
2/26/2024,3.8745,3.878,3.826,3.8255
2/23/2024,3.9055,3.9085,3.8565,3.891
2/22/2024,3.8925,3.9165,3.878,3.915
2/21/2024,3.87,3.913,3.86,3.8875
2/20/2024,3.833,3.879,3.8115,3.8755
2/19/2024,3.8167,3.8293,3.8033,3.811
2/18/2024,3.822,3.8222,3.8098,3.8167
2/16/2024,3.7735,3.855,3.769,3.8515
2/15/2024,3.721,3.7755,3.719,3.7725
2/14/2024,3.709,3.7255,3.6895,3.7
2/13/2024,3.7215,3.7545,3.703,3.711
2/12/2024,3.6895,3.726,3.667,3.724
2/9/2024,3.708,3.713,3.655,3.6815
2/8/2024,3.7355,3.763,3.679,3.702
2/7/2024,3.784,3.795,3.7315,3.7355
2/6/2024,3.769,3.7973,3.7668,3.783
2/5/2024,3.819,3.833,3.7635,3.7715
2/2/2024,3.8545,3.8625,3.8165,3.8215
2/1/2024,3.8965,3.8975,3.845,3.8535
1/31/2024,3.9135,3.947,3.8835,3.906
1/30/2024,3.885,3.917,3.8605,3.911
1/29/2024,3.853,3.89,3.8275,3.879
1/26/2024,3.868,3.8865,3.845,3.852
1/25/2024,3.8735,3.8935,3.8585,3.869
1/24/2024,3.806,3.888,3.795,3.886
1/23/2024,3.7485,3.8085,3.7475,3.7935
1/22/2024,3.7895,3.7915,3.744,3.7635
1/19/2024,3.7565,3.792,3.743,3.7865
1/18/2024,3.744,3.759,3.7145,3.745
1/17/2024,3.77,3.7705,3.7225,3.733
1/16/2024,3.745,3.79,3.744,3.7665
1/15/2024,3.7508,3.7888,3.7468,3.7782
1/14/2024,3.7452,3.7513,3.7452,3.7503
1/12/2024,3.791,3.819,3.735,3.7405
1/11/2024,3.787,3.824,3.7685,3.7765
1/10/2024,3.763,3.793,3.754,3.781
1/9/2024,3.8235,3.8405,3.757,3.7585
1/8/2024,3.8075,3.833,3.7895,3.81
1/5/2024,3.8495,3.866,3.801,3.806
1/4/2024,3.8745,3.8845,3.8175,3.844
1/3/2024,3.8715,3.879,3.831,3.8615
1/2/2024,3.8955,3.912,3.861,3.8805
1/1/2024,3.8915,3.8998,3.8915,3.8988
12/29/2023,3.9125,3.9352,3.8782,3.8915
12/28/2023,3.956,3.967,3.913,3.9245
12/27/2023,3.902,3.9737,3.8992,3.956
12/26/2023,3.905,3.9435,3.897,3.902
12/25/2023,3.901,3.9097,3.901,3.9082
12/22/2023,3.925,3.9395,3.892,3.905
12/21/2023,3.8845,3.9315,3.8795,3.9175
12/20/2023,3.9075,3.945,3.879,3.906
12/19/2023,3.848,3.9305,3.841,3.898
12/18/2023,3.883,3.8915,3.845,3.852
12/15/2023,3.874,3.9165,3.8485,3.8905
12/14/2023,3.835,3.9095,3.827,3.8925
12/13/2023,3.7925,3.8395,3.753,3.7875
12/12/2023,3.785,3.8125,3.7665,3.7875
12/11/2023,3.8305,3.836,3.7755,3.7805
12/8/2023,3.798,3.864,3.788,3.8305
12/7/2023,3.7315,3.8005,3.7305,3.7975
12/6/2023,3.786,3.8265,3.729,3.7345
12/5/2023,3.827,3.841,3.77,3.784
12/4/2023,3.9215,3.9265,3.8245,3.8355
12/1/2023,3.855,3.933,3.8425,3.9315
11/30/2023,3.835,3.8565,3.8125,3.8505
11/29/2023,3.85,3.8645,3.8135,3.8255
11/28/2023,3.793,3.8435,3.785,3.8285
11/27/2023,3.823,3.823,3.786,3.789
11/24/2023,3.8185,3.8275,3.8,3.8205
11/23/2023,3.7647,3.7975,3.76,3.7743
11/22/2023,3.8245,3.8295,3.774,3.797
11/21/2023,3.831,3.8415,3.8245,3.8395
11/20/2023,3.7635,3.831,3.7635,3.8335
11/17/2023,3.6938,3.7435,3.6792,3.7345
11/16/2023,3.714,3.7425,3.6835,3.7025
11/15/2023,3.677,3.725,3.668,3.7185
11/14/2023,3.672,3.719,3.649,3.6835
11/13/2023,3.596,3.672,3.58,3.666
11/10/2023,3.6325,3.6445,3.582,3.587
11/9/2023,3.6385,3.662,3.6135,3.6405
11/8/2023,3.687,3.7035,3.6325,3.638
11/7/2023,3.712,3.7135,3.646,3.679
11/6/2023,3.675,3.7255,3.6665,3.719
11/3/2023,3.688,3.705,3.653,3.6815
11/2/2023,3.6605,3.6925,3.6565,3.6725
11/1/2023,3.653,3.689,3.6335,3.649
10/31/2023,3.655,3.6745,3.6315,3.649
10/30/2023,3.6425,3.71,3.64,3.6585
10/27/2023,3.5935,3.6595,3.581,3.646
10/26/2023,3.589,3.6195,3.572,3.5845
10/25/2023,3.6315,3.649,3.582,3.591
10/24/2023,3.5815,3.6395,3.5625,3.624
10/23/2023,3.559,3.5945,3.5195,3.5865
10/20/2023,3.585,3.59,3.5465,3.563
10/19/2023,3.584,3.612,3.5665,3.601
10/18/2023,3.59,3.6305,3.575,3.587
10/17/2023,3.5815,3.593,3.5315,3.5785
10/16/2023,3.5705,3.6055,3.5635,3.582
10/13/2023,3.587,3.6165,3.557,3.571
10/12/2023,3.6115,3.6485,3.5695,3.591
10/11/2023,3.631,3.664,3.5985,3.612
10/10/2023,3.656,3.6745,3.591,3.634
10/9/2023,3.6275,3.673,3.6135,3.646
10/6/2023,3.566,3.645,3.5515,3.6275
10/5/2023,3.583,3.603,3.549,3.552
10/4/2023,3.6185,3.622,3.549,3.589
10/3/2023,3.648,3.648,3.5815,3.621
10/2/2023,3.754,3.7615,3.6275,3.6415
9/29/2023,3.7125,3.786,3.7115,3.7375
9/28/2023,3.6465,3.715,3.6255,3.708
9/27/2023,3.6465,3.6535,3.624,3.6365
