Date,Open,High,Low,Close
5/17/2024,79.38,80.14,79,80.06
5/16/2024,78.84,79.85,78.2,79.23
5/15/2024,78.44,78.92,76.7,78.63
5/14/2024,79.23,79.38,77.68,78.02
5/13/2024,78.18,79.49,77.78,79.12
5/10/2024,79.59,79.96,78.14,78.26
5/9/2024,79.23,79.8,78.91,79.26
5/8/2024,78.34,79.27,76.89,78.99
5/7/2024,78.72,79.17,77.55,78.38
5/6/2024,78.16,79.09,77.91,78.48
5/3/2024,79.07,79.63,77.96,78.11
5/2/2024,79.15,79.9,78.41,78.95
5/1/2024,81.48,81.57,78.83,79
4/30/2024,82.76,83.3,80.95,81.93
4/29/2024,83.69,83.91,82.4,82.63
4/26/2024,83.81,84.46,83.35,83.85
4/25/2024,82.83,83.83,81.99,83.57
4/24/2024,83.4,83.71,82.44,82.81
4/23/2024,82.13,83.43,80.88,83.36
4/22/2024,83.05,83.35,81.85,82.85
4/19/2024,82.62,86.28,81.8,83.14
4/18/2024,82.79,83.47,81.56,82.73
4/17/2024,85.36,85.51,82.55,82.69
4/16/2024,85.7,86.18,84.75,85.36
4/15/2024,85.93,86.11,84.05,85.41
4/12/2024,85.6,87.67,85.24,85.66
4/11/2024,86.32,86.63,84.84,85.02
4/10/2024,85.34,86.38,84.55,86.21
4/9/2024,86.59,86.98,85.09,85.23
4/8/2024,86.1,87.1,84.69,86.43
4/5/2024,86.86,87.63,86.32,86.91
4/4/2024,85.66,87.22,84.64,86.59
4/3/2024,85.46,86.2,84.85,85.43
4/2/2024,84.04,85.5,83.85,85.15
4/1/2024,83.14,84.49,82.6,83.71
3/28/2024,81.71,83.21,81.52,83.17
3/27/2024,81.29,81.74,80.55,81.35
3/26/2024,81.94,82.36,81.22,81.62
3/25/2024,80.85,82.48,80.59,81.95
3/22/2024,80.84,81.45,80.42,80.63
3/21/2024,81.49,81.92,80.3,81.07
3/20/2024,83.2,83.21,81.44,81.68
3/19/2024,82.85,83.85,82.39,83.47
3/18/2024,81.03,83.09,81.01,82.72
3/15/2024,81.14,81.45,80.49,81.04
3/14/2024,79.63,81.62,79.57,81.26
3/13/2024,78.06,79.9,77.57,79.72
3/12/2024,78.09,78.73,77.34,77.56
3/11/2024,77.8,78.47,76.79,77.93
3/8/2024,79.51,79.99,77.56,78.01
3/7/2024,79.13,79.53,78.02,78.93
3/6/2024,78.15,80.67,77.99,79.13
3/5/2024,78.74,79.49,77.52,78.15
3/4/2024,80.14,80.41,78.56,78.74
3/1/2024,78.28,80.85,78.05,79.97
2/29/2024,78.2,79.28,77.94,78.26
2/28/2024,78.48,79.62,77.78,78.54
2/27/2024,77.62,79,77.17,78.87
2/26/2024,76.4,78.03,75.84,77.58
2/23/2024,78.37,78.39,76.35,76.49
2/22/2024,78.09,78.92,77.23,78.61
2/21/2024,77.15,78.08,76.32,77.91
2/20/2024,78.98,79.8,77.67,78.18
2/19/2024,78.16,78.56,77.64,78.11
2/16/2024,78.11,79.35,77.22,79.19
2/15/2024,76.6,78.44,75.78,78.03
2/14/2024,77.81,78.77,76.38,76.64
2/13/2024,77.03,78.47,76.87,77.87
2/12/2024,76.6,77.09,75.54,76.92
2/9/2024,76.42,77.29,75.93,76.84
2/8/2024,74.08,76.59,73.56,76.22
2/7/2024,73.5,74.22,73.23,73.86
2/6/2024,72.76,73.82,72.38,73.31
2/5/2024,72.75,73.28,71.41,72.78
2/2/2024,73.91,74.52,71.79,72.28
2/1/2024,75.96,76.95,73.7,73.82
1/31/2024,77.84,78.11,75.52,75.85
1/30/2024,77.02,78.14,75.85,77.82
1/29/2024,78.9,79.29,76.41,76.78
1/26/2024,77.15,78.26,76.06,78.01
1/25/2024,75.3,77.51,75.16,77.36
1/24/2024,74.57,75.83,73.94,75.09
1/23/2024,74.68,75.25,73.41,74.37
1/22/2024,73.41,75.75,72.89,75.19
1/19/2024,74.08,74.91,73.2,73.41
1/18/2024,72.78,74.38,72.18,74.08
1/17/2024,72,72.95,70.5,72.56
1/16/2024,72.63,73.56,71.23,72.4
1/15/2024,72.69,73.09,71.41,72.79
1/12/2024,73.01,75.25,72.36,72.68
1/11/2024,71.33,73.81,71.17,72.02
1/10/2024,72.17,73.59,71.01,71.37
1/9/2024,70.91,72.93,70.47,72.24
1/8/2024,73.51,73.95,70.13,70.77
1/5/2024,72.4,74.24,72.21,73.81
1/4/2024,73.04,74,71.06,72.19
1/3/2024,70.5,73.23,69.28,72.7
1/2/2024,71.71,73.64,70.06,70.38
1/1/2024,71.67,72.24,71.67,71.97
12/29/2023,71.99,72.62,71.25,71.65
12/28/2023,73.8,74.4,71.72,71.77
12/27/2023,75.32,75.66,73.77,74.11
12/26/2023,73.56,76.18,73.13,75.57
12/25/2023,73.49,73.94,73.48,73.79
12/22/2023,73.91,74.98,73.39,73.56
12/21/2023,73.81,74.58,72.44,73.89
12/20/2023,74.06,75.37,73.6,74.22
12/19/2023,72.48,74.01,71.85,73.44
12/18/2023,71.68,74.26,70.64,72.47
12/15/2023,71.61,72.22,70.3,71.43
12/14/2023,69.85,72.46,69.54,71.58
12/13/2023,68.73,69.89,67.71,69.47
12/12/2023,71.43,71.96,68.22,68.61
12/11/2023,71.15,71.81,70.35,71.32
12/8/2023,69.76,71.63,69.5,71.23
12/7/2023,69.28,70.48,68.8,69.34
12/6/2023,72.1,72.6,69.11,69.38
12/5/2023,73.3,74.12,72.02,72.32
12/4/2023,74.58,75.03,72.63,73.04
12/1/2023,75.59,76.76,73.93,74.07
11/30/2023,77.75,79.6,75.05,75.96
11/29/2023,76.56,78.09,75.67,77.86
11/28/2023,75.07,77.02,74.64,76.41
11/27/2023,75.31,76.23,74.06,74.86
11/24/2023,76.79,77.09,75.07,75.54
11/23/2023,76.69,76.81,75.31,76.34
11/22/2023,77.77,77.97,73.79,77.1
11/21/2023,77.65,77.92,76.92,77.77
11/20/2023,75.65,78.22,75.65,77.6
11/17/2023,72.97,75.99,72.75,75.89
11/16/2023,76.6,76.63,72.16,72.9
11/15/2023,78.17,78.77,76.31,76.66
11/14/2023,78.53,79.77,77.79,78.26
11/13/2023,77.15,78.64,76.21,78.26
11/10/2023,75.59,77.73,75.31,77.17
11/9/2023,75.65,77.16,75.21,75.74
11/8/2023,77.12,77.53,74.91,75.33
11/7/2023,80.93,81.05,77.09,77.37
11/6/2023,81.13,82.24,80.66,80.82
11/3/2023,82.58,83.6,80.1,80.51
11/2/2023,80.82,82.83,80.22,82.46
