Date,Open,High,Low,Close
5/17/2024,"2,381.40","2,427.40","2,377.80","2,417.40"
5/16/2024,"2,391.50","2,402.70","2,375.20","2,385.50"
5/15/2024,"2,362.90","2,396.10","2,357.10","2,394.90"
5/14/2024,"2,342.30","2,365.20","2,340.50","2,359.90"
5/13/2024,"2,369.10","2,370.80","2,337.60","2,343.00"
5/10/2024,"2,353.50","2,385.30","2,352.00","2,375.00"
5/9/2024,"2,316.50","2,354.20","2,312.90","2,340.30"
5/8/2024,"2,322.00","2,329.60","2,311.40","2,322.30"
5/7/2024,"2,334.80","2,338.70","2,318.20","2,324.20"
5/6/2024,"2,312.80","2,341.90","2,300.60","2,331.20"
5/3/2024,"2,313.50","2,330.70","2,285.20","2,308.60"
5/2/2024,"2,329.90","2,336.10","2,294.30","2,309.60"
5/1/2024,"2,298.20","2,339.50","2,291.70","2,311.00"
4/30/2024,"2,347.00","2,347.60","2,296.20","2,302.90"
4/29/2024,"2,347.60","2,358.90","2,331.00","2,357.70"
4/26/2024,"2,333.10","2,350.50","2,326.60","2,335.00"
4/25/2024,"2,317.80","2,344.80","2,306.40","2,330.30"
4/24/2024,"2,324.00","2,338.00","2,313.60","2,326.00"
4/23/2024,"2,332.20","2,336.00","2,293.60","2,329.90"
4/22/2024,"2,391.50","2,391.50","2,327.30","2,334.60"
4/19/2024,"2,381.10","2,418.10","2,374.70","2,401.40"
4/18/2024,"2,366.10","2,395.70","2,366.10","2,385.80"
4/17/2024,"2,387.90","2,399.50","2,359.90","2,376.20"
4/16/2024,"2,387.00","2,402.20","2,367.40","2,395.50"
4/15/2024,"2,357.30","2,392.00","2,330.10","2,370.90"
4/12/2024,"2,389.40","2,448.80","2,350.60","2,374.10"
4/11/2024,"2,351.70","2,395.60","2,343.10","2,372.70"
4/10/2024,"2,372.40","2,378.10","2,337.10","2,348.40"
4/9/2024,"2,358.10","2,384.50","2,355.70","2,362.40"
4/8/2024,"2,343.60","2,372.50","2,321.70","2,351.00"
4/5/2024,"2,309.50","2,350.00","2,286.20","2,345.40"
4/4/2024,"2,321.00","2,325.30","2,298.70","2,308.50"
4/3/2024,"2,301.70","2,321.80","2,285.70","2,315.00"
4/2/2024,"2,272.70","2,301.90","2,267.10","2,281.80"
4/1/2024,"2,259.20","2,286.40","2,249.10","2,257.10"
3/29/2024,"2,254.80","2,254.80","2,254.80","2,254.80"
3/28/2024,"2,215.70","2,256.90","2,207.50","2,238.40"
3/27/2024,"2,200.50","2,218.30","2,193.70","2,212.70"
3/26/2024,"2,183.00","2,210.70","2,179.30","2,187.80"
3/25/2024,"2,177.50","2,192.70","2,175.00","2,186.80"
3/22/2024,"2,193.30","2,198.00","2,169.30","2,170.20"
3/21/2024,"2,200.10","2,231.30","2,178.90","2,195.00"
3/20/2024,"2,171.30","2,201.40","2,164.20","2,171.00"
3/19/2024,"2,174.20","2,175.00","2,162.10","2,169.80"
3/18/2024,"2,169.10","2,176.00","2,160.00","2,174.50"
3/15/2024,"2,175.50","2,186.70","2,169.40","2,171.60"
3/14/2024,"2,179.50","2,181.30","2,157.00","2,167.50"
3/13/2024,"2,163.60","2,185.60","2,161.30","2,180.80"
3/12/2024,"2,189.10","2,190.80","2,156.20","2,166.10"
3/11/2024,"2,187.60","2,195.50","2,180.90","2,188.60"
3/8/2024,"2,166.60","2,203.00","2,161.20","2,185.50"
3/7/2024,"2,156.70","2,172.20","2,151.70","2,165.20"
3/6/2024,"2,136.40","2,160.70","2,131.90","2,158.20"
3/5/2024,"2,123.30","2,150.50","2,118.50","2,141.90"
3/4/2024,"2,091.60","2,128.40","2,088.10","2,126.30"
3/1/2024,"2,052.80","2,097.10","2,047.00","2,095.70"
