Date,Open,High,Low,Close
5/19/2024,"1,095.25","1,098.10","1,091.15","1,095.10"
5/17/2024,"1,071.80","1,100.50","1,062.00","1,090.00"
5/16/2024,"1,075.50","1,091.10","1,058.10","1,071.30"
5/15/2024,"1,046.50","1,078.40","1,046.30","1,070.10"
5/14/2024,"1,010.70","1,048.80","1,009.60","1,044.60"
5/13/2024,"1,007.80","1,025.90","1,000.00","1,010.80"
5/12/2024,"1,007.40","1,008.00","1,002.05","1,003.00"
5/10/2024,993.4,"1,008.50",992.5,"1,007.20"
5/9/2024,986.2,997.7,982,990.8
5/8/2024,988,991.5,972,984.6
5/7/2024,967,992.8,961.1,988.4
5/6/2024,965.6,978.6,956.3,964.9
5/5/2024,966.2,969.65,958.8,959.3
5/3/2024,964.3,980.3,957.5,965.3
5/2/2024,966.1,971.2,951.9,962.6
5/1/2024,947.7,968.3,942.2,954.9
4/30/2024,959.9,963.1,940,948.2
4/29/2024,924.6,965.5,922.7,961.5
4/28/2024,923.9,925.8,922.7,923.05
4/26/2024,925.6,932.5,919.8,920.2
4/25/2024,910.5,924.6,908.7,918.6
4/24/2024,917.8,926.4,909.6,913.9
4/23/2024,927.9,927.9,910,920
4/22/2024,941.2,942.4,927.3,928.1
4/21/2024,942.6,944.9,941.05,944.2
4/19/2024,949.4,960.3,936.5,943.8
4/18/2024,953.5,961.9,944,954.5
4/17/2024,971.5,974,952,954.2
4/16/2024,985.2,987.7,968.9,975.2
4/15/2024,992.7,998.7,972,981
4/14/2024,990.2,998.6,986.2,990.15
4/12/2024,996,"1,020.50",987.5,"1,001.70"
4/11/2024,977.6,996.1,974.2,988
4/10/2024,991.9,997.4,971.3,976.4
4/9/2024,977.4,"1,001.20",976.5,984.1
4/8/2024,940.5,980.7,931.7,974.5
4/7/2024,939.8,940.75,935.1,935.45
4/5/2024,946.6,947.5,926.9,940.6
4/4/2024,953.3,958.2,942.1,952.6
4/3/2024,937.5,953.2,927.8,946.5
4/2/2024,914.4,942.2,912.8,934.3
4/1/2024,922.7,928.7,905,911.4
3/31/2024,922.8,926.85,922.15,924.35
3/29/2024,923,923,923,923
3/28/2024,911.2,923.8,904.3,921.1
3/27/2024,917.3,919.8,900.2,909.7
3/26/2024,917.3,922.95,913.15,917.9
3/25/2024,907.9,925.5,906.8,919
3/24/2024,907.65,911.4,907,910.9
3/22/2024,911.3,913.7,896.4,898.4
3/21/2024,911.3,922.3,908.6,913
3/20/2024,898.9,913.7,891.5,899.4
3/19/2024,920,920.3,895.9,901.1
3/18/2024,941.6,942.8,918.6,921.2
3/17/2024,944,944,939.7,941.45
3/15/2024,932,958.9,928.2,943.5
3/14/2024,945.6,948,930.1,935.7
3/13/2024,928.2,946.5,925.8,944.9
3/12/2024,942.1,943.2,915.4,928.2
3/11/2024,917.5,944.7,917,940.5
3/10/2024,917.05,920.9,917.05,920.5
3/8/2024,925.5,931.8,911.3,914.8
3/7/2024,913.4,930.5,908.7,923.4
3/6/2024,886.3,916.8,884.5,914.4
3/5/2024,902.9,904,884,887.2
3/4/2024,892.3,907.5,887.6,904.3
3/3/2024,891.55,895.4,889.45,889.75
3/1/2024,883.8,893.1,870.1,888
2/29/2024,883.5,893.6,879,884
2/28/2024,896.6,897.2,881.7,885.1
2/27/2024,880.1,894.7,879.9,891.9
2/26/2024,901.9,903.6,876.7,876.8
2/25/2024,907.1,907.7,904.5,904.5
2/23/2024,897.9,904.2,897.8,906.9
2/22/2024,889.8,909.6,888.6,905.5
2/21/2024,910.2,916.2,886.8,889.6
2/20/2024,914.2,921.7,900.6,914.3
2/19/2024,912.95,917.9,903.75,905.65
2/18/2024,914.7,915.4,912.25,913.2
2/16/2024,905.3,917,894.2,913.5
2/15/2024,897.5,910.2,893.7,905.2
2/14/2024,878.8,903.6,876.8,897.3
2/13/2024,896.9,906.8,874.2,878.9
2/12/2024,880.9,900.6,878.3,897.1
2/11/2024,880.35,881.95,878.3,881.65
2/9/2024,895.6,899,873.3,878.2
2/8/2024,886.9,895.9,877.5,894
2/7/2024,912.1,914.8,884.7,886.9
2/6/2024,904.55,915.35,899.75,911.6
2/5/2024,901.6,910.7,897.2,903.5
2/4/2024,901.35,904.95,900.3,904.3
2/2/2024,922.2,933.8,899.2,901.6
2/1/2024,928.4,932.3,910.2,922.3
1/31/2024,933.5,944,925,932.6
1/30/2024,939,940,922.1,931.7
1/29/2024,921.7,940.6,916,938.3
1/28/2024,921.55,924.4,918.2,919.05
1/26/2024,898.4,924.9,896.5,921.3
1/25/2024,908.8,911.5,892.5,894.5
1/24/2024,908.5,922.1,906.6,914.9
1/23/2024,900.1,917.1,900.1,905.5
1/22/2024,909.4,913.2,899.7,903
1/21/2024,907.75,909.3,905.9,907.9
1/19/2024,916.4,924,900.8,907
1/18/2024,891.1,916.5,889.9,912
1/17/2024,904.2,906.5,883.2,889.6
1/16/2024,917,926.7,901.6,904.4
1/15/2024,917.9,926.7,916.95,921.35
1/14/2024,916.85,919,916.3,917.8
1/12/2024,924.4,946.6,914,921.1
1/11/2024,929.4,941.7,918,919.6
1/10/2024,941.9,948,926,929.6
1/9/2024,956.8,963.7,940.7,943.5
1/8/2024,971.3,976.8,955.1,959.4
1/7/2024,973.35,973.45,970.5,971.4
1/5/2024,968.4,981.8,953.9,971.8
1/4/2024,986.4,988.2,964.2,966.3
1/3/2024,996.9,"1,001.30",976.2,987.1
1/2/2024,"1,006.60","1,015.10",993.2,998.3
1/1/2024,"1,005.65","1,007.25","1,005.00","1,006.15"
12/29/2023,"1,022.60","1,026.60","1,004.80","1,009.20"
12/28/2023,"1,014.40","1,031.00","1,009.10","1,023.20"
12/27/2023,998,"1,016.85",989.7,"1,013.50"
12/26/2023,992.2,"1,001.60",987.5,995.6
12/25/2023,991.25,992.75,990.5,990.8
12/22/2023,971.5,988.6,965.5,981.8
12/21/2023,966.7,975,955,970.3
12/20/2023,963.3,976.1,953.5,974
12/19/2023,953.5,968,945.2,965.8
12/18/2023,947.7,964.3,944.3,954.3
12/17/2023,948,949.5,945.65,945.65
12/15/2023,966.3,973.2,943.5,952.6
12/14/2023,943.1,971.3,940.1,967.9
12/13/2023,935.3,944.2,920.1,922.1
12/12/2023,915.8,935.6,912.5,931
12/11/2023,920.5,931.8,914.2,915.7
12/10/2023,922.05,925.05,920.8,924.85
12/8/2023,912.4,929.8,909.4,919.8
12/7/2023,892.3,919.1,890,912
12/6/2023,905.7,916.5,890.4,893.7
12/5/2023,923.2,926.5,899.5,906.6
12/4/2023,943,949.6,916,925.1
12/3/2023,937.6,949.6,937.6,945.8
12/1/2023,933.2,943.1,923.2,936.1
11/30/2023,939.6,947,927,935.9
11/29/2023,949.3,954.7,929.6,941.4
11/28/2023,921.1,936.6,921.1,944.7
11/27/2023,931.8,938.1,914.4,918
11/26/2023,939.95,939.95,934.6,935.25
11/24/2023,929.2,931.3,916.9,932.4
11/23/2023,931.7,936.5,920.6,923.6
11/22/2023,935.7,941.9,923.2,925.8
11/21/2023,921.1,942,921.1,941.4
11/20/2023,903.4,922,902,923.4
11/19/2023,904.7,904.75,899.95,900
11/17/2023,898.3,913.7,895.7,905
11/16/2023,901.2,909.1,894.4,898.4
11/15/2023,890.7,908.1,886.5,901.25
11/14/2023,869.6,895.55,868.6,890.7
11/13/2023,845.8,868.8,844.6,863.6
11/12/2023,845.65,849,845.65,848.85
11/10/2023,863.5,864.7,843.1,845.6
11/9/2023,874.8,877.9,859.65,864.3
11/8/2023,898.6,900.5,870.9,871.5
11/7/2023,914.25,915.4,896.95,898.55
11/6/2023,941.6,943,912.7,917.6
11/5/2023,941.35,942.25,936.9,937.3
11/3/2023,931.1,945.65,930.35,940.95
11/2/2023,931.5,942.1,919.9,930.6
11/1/2023,941.95,942.7,925.6,934.9
10/31/2023,943,951.8,937.6,944.9
10/30/2023,911.4,943.6,907,939.9
10/29/2023,912.2,913,909.3,910.4
10/27/2023,909.3,913.8,902.3,901.5
10/26/2023,913,920.4,900.6,909
10/25/2023,892.5,917,885,912.4
10/24/2023,902.8,908.8,886.9,891.9
10/23/2023,903.7,907.8,894.5,905
10/22/2023,905.25,905.25,900.6,901.6
10/20/2023,899.9,913.2,893.7,905.1
10/19/2023,891.5,903.2,882,898.2
10/18/2023,904.3,914.7,885.8,894.3
10/17/2023,899.5,909.5,894.5,906.2
10/16/2023,888.7,900.6,879.1,899.4
10/15/2023,887.9,891.05,886,890.2
10/13/2023,872.3,891.3,867.9,884.2
10/12/2023,895.9,902.6,871.1,875.8
10/11/2023,887.9,896,879,893
10/10/2023,893.4,899.3,885.5,890.2
10/9/2023,884.6,896.9,877.5,888.8
10/8/2023,884.85,890.2,877.65,881.85
10/6/2023,867.6,888.9,856.8,881.5
10/5/2023,872.8,879.4,860.7,862.5
10/4/2023,877.1,884.8,865.8,874.2
10/3/2023,886.1,890.4,875,879.6
10/2/2023,916.2,921.6,884.8,886.8
10/1/2023,915.25,919.5,915.25,919
9/29/2023,916.1,935.5,912.1,915.9
9/28/2023,897.3,917.7,894.1,915.1
9/27/2023,913.5,918.8,890.9,896.3
9/26/2023,922.4,923,907.9,914.2
9/25/2023,939.9,941.1,920.2,923.6
9/24/2023,941,941.1,937.55,938.4
9/22/2023,924.5,947.1,924.3,934.1
9/21/2023,933.3,933.5,916.9,924.6
9/20/2023,946.5,949.6,931.5,942.3
9/19/2023,939.2,955,934,948.4
9/18/2023,930.7,941.2,930.7,938.3
9/17/2023,931.35,932.55,930.9,932.35
9/15/2023,910.5,934.1,909.2,929.5
9/14/2023,904,914,900.2,911.1
9/13/2023,914.3,914.7,898.1,905.2
9/12/2023,902.9,916.4,894.5,912.8
9/11/2023,896.6,908.9,894.8,902.3
9/10/2023,896.25,898.5,894.8,898.35
9/8/2023,910.7,915,893.3,894.8
9/7/2023,915.3,918.7,903.5,909.6
9/6/2023,933.2,935.1,909.5,915.3
9/5/2023,969.1,972.5,932,933.5
9/4/2023,968.8,972.45,956.1,959.55
9/3/2023,968.95,970.45,966.6,969.1
9/1/2023,977.2,995,967.4,968.7
8/31/2023,984.5,989.1,973.1,974.4
8/30/2023,987.3,993.3,978.5,983.3
8/29/2023,983.4,983.5,983.4,983
8/28/2023,958,967.4,958,969.1
8/27/2023,950.5,953.2,950.25,951.5
8/25/2023,942,942,942,945.1
8/24/2023,940,940,940,939.9
8/23/2023,933.2,935,933.2,935.1
8/22/2023,915.1,932.4,912.8,921.4
8/21/2023,912.3,912.3,907.6,910.4
8/20/2023,916.2,918.35,915.3,917.05
8/18/2023,900.1,917.5,896.6,916.25
8/17/2023,886.6,913.65,884.2,900.15
8/16/2023,893.2,898.7,885,891.3
8/15/2023,904.6,906.2,882.6,892.2
8/14/2023,915.5,919,893.6,906.8
8/13/2023,916.3,918.85,915.55,917.55
8/11/2023,911.5,923.1,907.3,914.6
8/10/2023,892.9,917,891.4,914.8
8/9/2023,905.2,910.7,891,892.7
8/8/2023,924.35,925.9,899.75,904.45
8/7/2023,928,933.9,916.7,926.9
8/6/2023,927.45,930.8,926.5,930.5
8/4/2023,920.2,931.5,914.1,928.5
8/3/2023,927.8,931.6,918.5,921.8
8/2/2023,939.8,943.9,925.7,930.4
8/1/2023,960.2,962.6,928.5,940.4
7/31/2023,943.7,967.3,931.6,958.6
7/30/2023,944.8,946.05,943.85,944.2
7/28/2023,942.8,949.5,935,943.7
7/27/2023,973.8,982.5,940.2,945
7/26/2023,978.7,979.1,959.6,972
7/25/2023,968.2,986.1,966.3,976.6
7/24/2023,971.6,976.5,963.1,969.5
7/23/2023,970.9,973.25,968.95,969.95
7/21/2023,965.7,974.6,960.4,972.2
7/20/2023,983.1,987,961.6,964.1
7/19/2023,994.1,998,980.1,984.8
7/18/2023,987.4,"1,003.70",983.8,994.4
7/17/2023,982.3,991.3,973,987.5
7/16/2023,982.6,983.15,974.75,977.9
7/14/2023,983,986.3,971.5,984.3
7/13/2023,960.5,986.9,957.7,983.4
7/12/2023,932.4,964,931.3,956.6
7/11/2023,934.7,943.5,928.1,932.4
7/10/2023,918.4,937,909.8,934.8
7/9/2023,917.9,920,916.85,919.95
7/7/2023,908.7,924.6,906,918.5
7/6/2023,924,931,899,909.7
7/5/2023,918.6,935.5,915.1,925
7/4/2023,919.45,935.45,918.2,926.4
7/3/2023,910.2,924.3,900.5,916
7/2/2023,913,913.55,908.9,910
6/30/2023,903.9,917.3,894.2,913.2
6/29/2023,922.3,930.3,897,906.8
6/28/2023,931.5,932.2,909.1,924.7
6/27/2023,933.7,942,922.7,934
6/26/2023,926.9,943.8,925.3,932.9
6/25/2023,925.65,929.55,925.3,929.2
6/23/2023,923.6,931.6,919.4,923.7
6/22/2023,946.7,950.4,923.4,926.5
6/21/2023,965,966.5,946,949
6/20/2023,988.4,989,956.3,968
6/19/2023,985.1,986.95,976.95,979.9
6/18/2023,985.6,988.8,985,985.2
6/16/2023,994.8,"1,002.60",977.9,987.3
6/15/2023,981.3,995.7,965.5,991.9
6/14/2023,980.8,986.8,971.7,980
6/13/2023,996.8,"1,003.00",978.7,981.9
6/12/2023,"1,012.00","1,013.60",991.8,995.3
6/11/2023,"1,013.30","1,013.50","1,011.00","1,011.75"
6/9/2023,"1,015.40","1,023.60","1,000.20","1,012.80"
6/8/2023,"1,025.00","1,033.00","1,010.90","1,013.90"
6/7/2023,"1,039.40","1,051.80","1,022.30","1,024.60"
6/6/2023,"1,035.50","1,044.30","1,026.60","1,038.70"
6/5/2023,"1,007.70","1,043.00","1,006.70","1,036.40"
6/4/2023,"1,006.15","1,012.00","1,006.15","1,009.25"
6/2/2023,"1,010.00","1,021.00","1,002.00","1,003.50"
6/1/2023,998.7,"1,015.90",997.4,"1,010.10"
5/31/2023,"1,025.30","1,029.40",997.8,999
5/30/2023,"1,028.10","1,046.00","1,021.20","1,021.90"
5/29/2023,"1,027.10","1,039.40","1,025.55","1,033.10"
5/28/2023,"1,028.05","1,028.90","1,025.30","1,027.75"
5/26/2023,"1,026.90","1,040.10","1,024.60","1,036.20"
5/25/2023,"1,030.50","1,037.40","1,020.80","1,034.40"
5/24/2023,"1,058.90","1,063.80","1,026.30","1,037.60"
5/23/2023,"1,076.80","1,079.40","1,057.10","1,065.70"
5/22/2023,"1,070.00","1,087.90","1,065.80","1,085.40"
5/21/2023,"1,071.50","1,074.60","1,070.00","1,074.10"
5/19/2023,"1,059.60","1,084.20","1,055.00","1,083.80"
5/18/2023,"1,079.20","1,080.80","1,055.00","1,066.30"
5/17/2023,"1,067.70","1,086.10","1,067.40","1,090.70"
5/16/2023,"1,070.50","1,078.70","1,061.80","1,075.00"
5/15/2023,"1,057.60","1,079.10","1,057.50","1,082.80"
5/14/2023,"1,059.40","1,063.85","1,058.20","1,063.80"
5/12/2023,"1,104.30","1,111.70","1,058.00","1,067.00"
5/11/2023,"1,124.60","1,129.80","1,094.70","1,105.00"
5/10/2023,"1,114.90","1,137.90","1,110.00","1,119.10"
5/9/2023,"1,083.30","1,117.80","1,076.00","1,116.00"
5/8/2023,"1,067.40","1,096.90","1,065.40","1,087.70"
5/7/2023,"1,067.10","1,070.20","1,065.90","1,066.80"
5/5/2023,"1,054.50","1,069.60","1,043.60","1,068.30"
5/4/2023,"1,069.85","1,073.85","1,043.20","1,053.55"
5/3/2023,"1,074.70","1,085.50","1,057.20","1,061.80"
5/2/2023,"1,065.90","1,079.70","1,052.70","1,078.30"
5/1/2023,"1,090.00","1,103.80","1,062.30","1,064.70"
4/30/2023,"1,088.50","1,088.50","1,081.45","1,081.45"
4/28/2023,"1,093.00","1,096.80","1,075.90","1,090.10"
4/27/2023,"1,103.20","1,114.40","1,085.30","1,093.20"
4/26/2023,"1,104.90","1,124.00","1,100.10","1,106.00"
4/25/2023,"1,099.90","1,106.30","1,077.00","1,098.20"
4/24/2023,"1,142.50","1,142.50","1,094.90","1,097.70"
4/23/2023,"1,140.80","1,142.60","1,133.05","1,135.25"
4/21/2023,"1,110.00","1,148.90","1,102.00","1,138.70"
4/20/2023,"1,103.60","1,112.50","1,094.50","1,107.60"
4/19/2023,"1,093.90","1,108.50","1,072.00","1,105.70"
4/18/2023,"1,062.00","1,101.90","1,059.70","1,097.30"
4/17/2023,"1,058.50","1,069.90","1,050.20","1,059.60"
4/16/2023,"1,056.20","1,059.40","1,053.30","1,053.90"
4/14/2023,"1,062.10","1,071.10","1,046.70","1,054.00"
4/13/2023,"1,029.10","1,070.00","1,023.40","1,065.50"
4/12/2023,"1,005.50","1,034.00","1,004.10","1,027.50"
4/11/2023,"1,003.50","1,018.60","1,000.60","1,005.10"
4/10/2023,"1,012.50","1,026.70",995.8,"1,002.90"
4/9/2023,"1,018.60","1,021.90","1,010.50","1,016.75"
4/6/2023,"1,009.20","1,021.70","1,004.30","1,016.80"
4/5/2023,"1,029.70","1,036.90","1,000.90","1,007.40"
4/4/2023,998.9,"1,032.20",991,"1,029.00"
4/3/2023,"1,001.00","1,009.20",987.1,996.4
4/2/2023,998.7,999.15,992.4,992.4
3/31/2023,997.6,"1,005.00",983,"1,003.10"
3/30/2023,979.5,"1,003.60",976.6,"1,002.40"
3/29/2023,972.5,980.9,959.5,985.5
3/28/2023,985.6,988.9,965,971.9
3/27/2023,993.8,993.9,971.6,982.5
3/26/2023,989.75,993.9,989.75,990.65
3/24/2023,992.5,995.3,962.2,983.9
3/23/2023,991.4,999,979.3,992.9
3/22/2023,978,"1,007.20",977.3,987
3/21/2023,997.8,"1,000.80",966.9,976.7
3/20/2023,984,"1,008.20",969.5,996.8
