Date,NLR
2024-05-17,87.39
2024-05-16,85.22
2024-05-15,85.26
2024-05-14,84.06
2024-05-13,83.28
2024-05-10,83.54
2024-05-09,84.59
2024-05-08,82.1
2024-05-07,83.13
2024-05-06,83.32
2024-05-03,81.07
2024-05-02,80.46
2024-05-01,78.82
2024-04-30,76.74
2024-04-29,79.33
2024-04-26,77.87
2024-04-25,76.97
2024-04-24,76.35
2024-04-23,76.74
2024-04-22,76.12
2024-04-19,76.08
2024-04-18,76.34
2024-04-17,76.15
2024-04-16,76.18
2024-04-15,76.89
2024-04-12,78.56
2024-04-11,79.89
2024-04-10,78.6
2024-04-09,78.54
2024-04-08,78.78
2024-04-05,79.55
2024-04-04,78.79
2024-04-03,80.52
2024-04-02,78.62
2024-04-01,78.29
2024-03-28,75.96
2024-03-27,75.41
2024-03-26,74.84
2024-03-25,75.29
2024-03-22,75.35
2024-03-21,75.15
2024-03-20,75.26
2024-03-19,73.31
2024-03-18,73.62
2024-03-15,73.47
2024-03-14,72.22
2024-03-13,73.11
2024-03-12,73.93
2024-03-11,73.96
2024-03-08,74.39
2024-03-07,77.36
2024-03-06,75.26
2024-03-05,74.13
2024-03-04,74.32
2024-03-01,74.76
2024-02-29,73.08
2024-02-28,73.33
2024-02-27,73.2
2024-02-26,70.84
2024-02-23,70.43
2024-02-22,71.43
2024-02-21,72.45
2024-02-20,71.88
2024-02-16,73.05
2024-02-15,73.67
2024-02-14,73.75
2024-02-13,73.23
2024-02-12,74.68
2024-02-09,74.75
2024-02-08,75.49
2024-02-07,77.81
2024-02-06,77.17
2024-02-05,76.86
2024-02-02,77.83
2024-02-01,78.9
2024-01-31,75.78
2024-01-30,76.09
2024-01-29,75.39
2024-01-26,74.94
2024-01-25,74.7
2024-01-24,75.19
2024-01-23,75.68
2024-01-22,74.0
2024-01-19,75.91
2024-01-18,76.54
2024-01-17,75.91
2024-01-16,77.63
2024-01-12,78.11
2024-01-11,75.01
2024-01-10,74.47
2024-01-09,73.66
2024-01-08,72.06
2024-01-05,71.42
2024-01-04,71.39
2024-01-03,71.01
2024-01-02,71.1
2023-12-29,71.72
2023-12-28,71.2
2023-12-27,72.33
2023-12-26,72.71
2023-12-22,71.8
2023-12-21,71.27
2023-12-20,69.61
2023-12-19,70.24
2023-12-18,71.5
2023-12-15,74.05
2023-12-14,75.67
2023-12-13,73.85
2023-12-12,73.86
2023-12-11,73.66
2023-12-08,73.63
2023-12-07,73.02
2023-12-06,73.07
2023-12-05,73.74
2023-12-04,74.95
2023-12-01,74.26
2023-11-30,73.94
2023-11-29,72.6
2023-11-28,74.59
2023-11-27,75.26
2023-11-24,75.21
2023-11-22,74.94
2023-11-21,74.5
2023-11-20,75.09
2023-11-17,74.22
2023-11-16,72.87
2023-11-15,72.33
2023-11-14,73.49
2023-11-13,71.58
2023-11-10,70.66
2023-11-09,70.26
2023-11-08,69.5
2023-11-07,70.56
2023-11-06,70.17
2023-11-03,71.36
2023-11-02,72.14
2023-11-01,70.98
2023-10-31,69.93
2023-10-30,68.35
2023-10-27,67.28
2023-10-26,68.63
2023-10-25,69.41
2023-10-24,69.47
2023-10-23,68.05
2023-10-20,67.97
2023-10-19,68.88
2023-10-18,68.22
2023-10-17,68.73
2023-10-16,67.9
2023-10-13,68.55
2023-10-12,68.08
2023-10-11,69.24
2023-10-10,69.71
2023-10-09,68.25
2023-10-06,68.99
2023-10-05,67.74
2023-10-04,66.79
2023-10-03,67.19
2023-10-02,68.33
2023-09-29,70.85
2023-09-28,72.39
2023-09-27,70.69
2023-09-26,71.11
2023-09-25,72.99
2023-09-22,71.37
2023-09-21,69.07
2023-09-20,70.23
2023-09-19,70.21
2023-09-18,71.05
2023-09-15,70.72
2023-09-14,70.19
2023-09-13,68.27
2023-09-12,66.76
2023-09-11,67.0
2023-09-08,66.0
2023-09-07,65.54
2023-09-06,65.54
2023-09-05,66.12
2023-09-01,65.22
2023-08-31,64.29
2023-08-30,64.86
2023-08-29,64.39
2023-08-28,64.2
2023-08-25,63.82
2023-08-24,62.92
2023-08-23,63.94
2023-08-22,63.28
2023-08-21,63.27
2023-08-18,61.68
2023-08-17,60.73
2023-08-16,61.12
2023-08-15,61.31
2023-08-14,62.38
2023-08-11,62.46
2023-08-10,61.7
2023-08-09,61.69
2023-08-08,61.56
2023-08-07,61.53
2023-08-04,60.8
2023-08-03,60.26
2023-08-02,60.25
2023-08-01,61.01
2023-07-31,61.38
2023-07-28,59.95
2023-07-27,59.35
2023-07-26,60.9
2023-07-25,61.29
2023-07-24,60.46
2023-07-21,60.31
2023-07-20,60.76
2023-07-19,60.74
2023-07-18,60.78
2023-07-17,60.34
2023-07-14,60.26
2023-07-13,61.48
2023-07-12,60.53
2023-07-11,59.77
2023-07-10,58.96
2023-07-07,58.69
2023-07-06,57.86
2023-07-05,59.15
2023-07-03,59.51
2023-06-30,59.4
2023-06-29,58.94
2023-06-28,58.76
2023-06-27,58.66
2023-06-26,58.15
2023-06-23,58.09
2023-06-22,59.02
2023-06-21,59.96
2023-06-20,60.15
2023-06-16,60.59
2023-06-15,60.23
2023-06-14,59.59
2023-06-13,60.12
2023-06-12,60.24
2023-06-09,58.98
2023-06-08,58.78
2023-06-07,58.0
2023-06-06,57.91
2023-06-05,58.48
2023-06-02,57.73
2023-06-01,56.95
2023-05-31,54.64
2023-05-30,53.64
2023-05-26,54.74
2023-05-25,54.87
2023-05-24,55.67
2023-05-23,56.34
2023-05-22,56.89
2023-05-19,55.82
2023-05-18,55.86
2023-05-17,56.45
2023-05-16,56.38
2023-05-15,57.46
2023-05-12,57.58
2023-05-11,57.5
2023-05-10,58.44
2023-05-09,58.2
2023-05-08,57.09
2023-05-05,57.0
2023-05-04,55.76
2023-05-03,55.3
2023-05-02,55.35
2023-05-01,56.03
2023-04-28,56.61
2023-04-27,55.62
2023-04-26,55.11
2023-04-25,54.86
2023-04-24,55.09
2023-04-21,55.23
2023-04-20,55.13
2023-04-19,55.33
2023-04-18,55.52
2023-04-17,55.99
2023-04-14,56.15
2023-04-13,56.65
2023-04-12,55.77
2023-04-11,55.58
2023-04-10,54.94
2023-04-06,54.73
2023-04-05,54.51
2023-04-04,54.87
2023-04-03,55.7
2023-03-31,55.56
2023-03-30,55.21
2023-03-29,54.33
2023-03-28,53.55
2023-03-27,52.81
2023-03-24,52.29
