Date,RUT
2024-05-20,2102.5
2024-05-17,2095.72
2024-05-16,2096.25
2024-05-15,2109.46
2024-05-14,2085.69
2024-05-13,2062.12
2024-05-10,2059.78
2024-05-09,2073.63
2024-05-08,2055.14
2024-05-07,2064.65
2024-05-06,2060.68
2024-05-03,2035.72
2024-05-02,2016.11
2024-05-01,1980.23
2024-04-30,1973.91
2024-04-29,2016.03
2024-04-26,2002.0
2024-04-25,1981.12
2024-04-24,1995.43
2024-04-23,2002.64
2024-04-22,1967.47
2024-04-19,1947.66
2024-04-18,1942.96
2024-04-17,1947.95
2024-04-16,1967.48
2024-04-15,1975.71
2024-04-12,2003.17
2024-04-11,2042.6
2024-04-10,2028.39
2024-04-09,2080.8
2024-04-08,2073.71
2024-04-05,2063.47
2024-04-04,2053.83
2024-04-03,2076.2
2024-04-02,2065.04
2024-04-01,2102.84
2024-03-28,2124.55
2024-03-27,2114.35
2024-03-26,2070.16
2024-03-25,2074.16
2024-03-22,2072.0
2024-03-21,2098.56
2024-03-20,2074.88
2024-03-19,2035.71
2024-03-18,2024.74
2024-03-15,2039.32
2024-03-14,2031.18
2024-03-13,2071.71
2024-03-12,2065.48
2024-03-11,2065.88
2024-03-08,2082.71
2024-03-07,2084.74
2024-03-06,2068.09
2024-03-05,2053.71
2024-03-04,2074.31
2024-03-01,2076.4
2024-02-29,2054.84
2024-02-28,2040.31
2024-02-27,2056.11
2024-02-26,2028.97
2024-02-23,2016.69
2024-02-22,2013.84
2024-02-21,1994.74
2024-02-20,2004.14
2024-02-16,2032.74
2024-02-15,2061.48
2024-02-14,2012.1
2024-02-13,1964.17
2024-02-12,2045.26
2024-02-09,2009.99
2024-02-08,1979.7
2024-02-07,1950.36
2024-02-06,1953.63
2024-02-05,1937.24
2024-02-02,1962.73
2024-02-01,1974.42
2024-01-31,1947.34
2024-01-30,1996.24
2024-01-29,2011.42
2024-01-26,1978.33
2024-01-25,1975.88
2024-01-24,1961.87
2024-01-23,1976.27
2024-01-22,1983.38
2024-01-19,1944.39
2024-01-18,1923.65
2024-01-17,1913.17
2024-01-16,1927.3
2024-01-12,1950.96
2024-01-11,1955.46
2024-01-10,1970.26
2024-01-09,1968.04
2024-01-08,1989.01
2024-01-05,1951.14
