Date,SP500
2024-05-20,5308.13
2024-05-17,5303.27
2024-05-16,5297.1
2024-05-15,5308.15
2024-05-14,5246.68
2024-05-13,5221.42
2024-05-10,5222.68
2024-05-09,5214.08
2024-05-08,5187.67
2024-05-07,5187.7
2024-05-06,5180.74
2024-05-03,5127.79
2024-05-02,5064.2
2024-05-01,5018.39
2024-04-30,5035.69
2024-04-29,5116.17
2024-04-26,5099.96
2024-04-25,5048.42
2024-04-24,5071.63
2024-04-23,5070.55
2024-04-22,5010.6
2024-04-19,4967.23
2024-04-18,5011.12
2024-04-17,5022.21
2024-04-16,5051.41
2024-04-15,5061.82
2024-04-12,5123.41
2024-04-11,5199.06
2024-04-10,5160.64
2024-04-09,5209.91
2024-04-08,5202.39
2024-04-05,5204.34
2024-04-04,5147.21
2024-04-03,5211.49
2024-04-02,5205.81
2024-04-01,5243.77
2024-03-28,5254.35
2024-03-27,5248.49
2024-03-26,5203.58
2024-03-25,5218.19
2024-03-22,5234.18
2024-03-21,5241.53
2024-03-20,5224.62
2024-03-19,5178.51
2024-03-18,5149.42
2024-03-15,5117.09
2024-03-14,5150.48
2024-03-13,5165.31
2024-03-12,5175.27
2024-03-11,5117.94
2024-03-08,5123.69
2024-03-07,5157.36
2024-03-06,5104.76
2024-03-05,5078.65
2024-03-04,5130.95
2024-03-01,5137.08
2024-02-29,5096.27
2024-02-28,5069.76
2024-02-27,5078.18
2024-02-26,5069.53
2024-02-23,5088.8
2024-02-22,5087.03
2024-02-21,4981.8
2024-02-20,4975.51
2024-02-16,5005.57
2024-02-15,5029.73
2024-02-14,5000.62
2024-02-13,4953.17
2024-02-12,5021.84
2024-02-09,5026.61
2024-02-08,4997.91
2024-02-07,4995.06
2024-02-06,4954.23
2024-02-05,4942.81
2024-02-02,4958.61
2024-02-01,4906.19
2024-01-31,4845.65
2024-01-30,4924.97
2024-01-29,4927.93
2024-01-26,4890.97
2024-01-25,4894.16
2024-01-24,4868.55
2024-01-23,4864.6
2024-01-22,4850.43
2024-01-19,4839.81
2024-01-18,4780.94
2024-01-17,4739.21
2024-01-16,4765.98
2024-01-12,4783.83
2024-01-11,4780.24
2024-01-10,4783.45
2024-01-09,4756.5
2024-01-08,4763.54
2024-01-05,4697.24
2024-01-04,4688.68
2024-01-03,4704.81
2024-01-02,4742.83
2023-12-29,4769.83
2023-12-28,4783.35
2023-12-27,4781.58
2023-12-26,4774.75
2023-12-22,4754.63
2023-12-21,4746.75
2023-12-20,4698.35
2023-12-19,4768.37
2023-12-18,4740.56
2023-12-15,4719.19
2023-12-14,4719.55
2023-12-13,4707.09
2023-12-12,4643.7
2023-12-11,4622.44
2023-12-08,4604.37
2023-12-07,4585.59
2023-12-06,4549.34
2023-12-05,4567.18
2023-12-04,4569.78
2023-12-01,4594.63
2023-11-30,4567.8
2023-11-29,4550.58
2023-11-28,4554.89
2023-11-27,4550.43
2023-11-24,4559.34
2023-11-22,4556.62
2023-11-21,4538.19
2023-11-20,4547.38
2023-11-17,4514.02
2023-11-16,4508.24
2023-11-15,4502.88
2023-11-14,4495.7
2023-11-13,4411.55
2023-11-10,4415.24
2023-11-09,4347.35
2023-11-08,4382.78
2023-11-07,4378.38
2023-11-06,4365.98
2023-11-03,4358.34
2023-11-02,4317.78
2023-11-01,4237.86
2023-10-31,4193.8
2023-10-30,4166.82
2023-10-27,4117.37
2023-10-26,4137.23
2023-10-25,4186.77
2023-10-24,4247.68
2023-10-23,4217.04
2023-10-20,4224.16
2023-10-19,4278.0
2023-10-18,4314.6
2023-10-17,4373.2
2023-10-16,4373.63
2023-10-13,4327.78
2023-10-12,4349.61
2023-10-11,4376.95
2023-10-10,4358.24
2023-10-09,4335.66
2023-10-06,4308.5
2023-10-05,4258.19
2023-10-04,4263.75
2023-10-03,4229.45
2023-10-02,4288.39
2023-09-29,4288.05
2023-09-28,4299.7
2023-09-27,4274.51
2023-09-26,4273.53
2023-09-25,4337.44
2023-09-22,4320.06
2023-09-21,4330.0
2023-09-20,4402.2
2023-09-19,4443.95
2023-09-18,4453.53
2023-09-15,4450.32
2023-09-14,4505.1
2023-09-13,4467.44
2023-09-12,4461.9
2023-09-11,4487.46
2023-09-08,4457.49
2023-09-07,4451.14
2023-09-06,4465.48
2023-09-05,4496.83
2023-09-01,4515.77
2023-08-31,4507.66
2023-08-30,4514.87
2023-08-29,4497.63
2023-08-28,4433.31
2023-08-25,4405.71
2023-08-24,4376.31
2023-08-23,4436.01
2023-08-22,4387.55
2023-08-21,4399.77
2023-08-18,4369.71
2023-08-17,4370.36
2023-08-16,4404.33
2023-08-15,4437.86
2023-08-14,4489.72
2023-08-11,4464.05
2023-08-10,4468.83
2023-08-09,4467.71
2023-08-08,4499.38
2023-08-07,4518.44
2023-08-04,4478.03
2023-08-03,4501.89
2023-08-02,4513.39
2023-08-01,4576.73
2023-07-31,4588.96
2023-07-28,4582.23
2023-07-27,4537.41
2023-07-26,4566.75
2023-07-25,4567.46
2023-07-24,4554.64
2023-07-21,4536.34
2023-07-20,4534.87
2023-07-19,4565.72
2023-07-18,4554.98
2023-07-17,4522.79
2023-07-14,4505.42
2023-07-13,4510.04
2023-07-12,4472.16
2023-07-11,4439.26
2023-07-10,4409.53
2023-07-07,4398.95
2023-07-06,4411.59
2023-07-05,4446.82
2023-07-03,4455.59
2023-06-30,4450.38
2023-06-29,4396.44
2023-06-28,4376.86
2023-06-27,4378.41
2023-06-26,4328.82
2023-06-23,4348.33
2023-06-22,4381.89
2023-06-21,4365.69
2023-06-20,4388.71
2023-06-16,4409.59
2023-06-15,4425.84
2023-06-14,4372.59
2023-06-13,4369.01
2023-06-12,4338.93
2023-06-09,4298.86
2023-06-08,4293.93
2023-06-07,4267.52
2023-06-06,4283.85
2023-06-05,4273.79
2023-06-02,4282.37
2023-06-01,4221.02
2023-05-31,4179.83
2023-05-30,4205.52
2023-05-26,4205.45
2023-05-25,4151.28
2023-05-24,4115.24
2023-05-23,4145.58
2023-05-22,4192.63
