Date,copper
2024-05-20,5.079
2024-05-17,5.05
2024-05-16,4.877
2024-05-15,4.9245
2024-05-14,4.895
2024-05-13,4.766
2024-05-10,4.6625
2024-05-09,4.585
2024-05-08,4.5425
2024-05-07,4.6055
2024-05-06,4.615
2024-05-03,4.557
2024-05-02,4.4845
2024-05-01,4.546
2024-04-30,4.5645
2024-04-29,4.6765
2024-04-26,4.574
2024-04-25,4.5385
2024-04-24,4.4575
2024-04-23,4.4345
2024-04-22,4.476
2024-04-19,4.4975
2024-04-18,4.4365
2024-04-17,4.3395
2024-04-16,4.3035
2024-04-15,4.379
2024-04-12,4.2585
2024-04-11,4.253
2024-04-10,4.282
2024-04-09,4.2855
2024-04-08,4.276
2024-04-05,4.236
2024-04-04,4.249
2024-04-03,4.194
2024-04-02,4.0705
2024-04-01,4.0485
2024-03-28,4.007
2024-03-27,4.0
2024-03-26,4.0085
2024-03-25,4.016
2024-03-22,4.0075
2024-03-21,4.0585
2024-03-20,4.0515
2024-03-19,4.0745
2024-03-18,4.13
2024-03-15,4.1245
2024-03-14,4.0455
2024-03-13,4.06
2024-03-12,3.932
2024-03-11,3.9285
2024-03-08,3.8915
2024-03-07,3.926
2024-03-06,3.875
2024-03-05,3.847
2024-03-04,3.857
2024-03-01,3.8615
2024-02-29,3.847
2024-02-28,3.8405
2024-02-27,3.8505
2024-02-26,3.8345
2024-02-23,3.88
2024-02-22,3.897
2024-02-21,3.875
2024-02-20,3.8675
2024-02-16,3.8385
2024-02-15,3.758
2024-02-14,3.7
2024-02-13,3.711
2024-02-12,3.724
2024-02-09,3.6815
2024-02-08,3.702
2024-02-07,3.7355
2024-02-06,3.781
2024-02-05,3.7715
2024-02-02,3.8215
2024-02-01,3.8535
2024-01-31,3.906
2024-01-30,3.911
2024-01-29,3.879
2024-01-26,3.852
2024-01-25,3.869
2024-01-24,3.886
2024-01-23,3.7935
2024-01-22,3.7635
2024-01-19,3.7865
2024-01-18,3.745
2024-01-17,3.733
2024-01-16,3.7665
2024-01-12,3.7405
2024-01-11,3.7765
2024-01-10,3.781
2024-01-09,3.7585
2024-01-08,3.81
2024-01-05,3.806
2024-01-04,3.844
2024-01-03,3.8615
2024-01-02,3.8805
2023-12-29,3.8905
2023-12-28,3.9245
2023-12-27,3.9595
2023-12-26,3.902
2023-12-22,3.905
2023-12-21,3.9175
2023-12-20,3.906
2023-12-19,3.898
2023-12-18,3.852
2023-12-15,3.8905
2023-12-14,3.8925
2023-12-13,3.7875
2023-12-12,3.7875
2023-12-11,3.7805
2023-12-08,3.8305
2023-12-07,3.7975
2023-12-06,3.7345
2023-12-05,3.784
2023-12-04,3.8355
2023-12-01,3.9315
2023-11-30,3.8505
2023-11-29,3.8255
2023-11-28,3.8395
2023-11-27,3.758
2023-11-24,3.789
2023-11-22,3.763
2023-11-21,3.8125
2023-11-20,3.814
2023-11-17,3.7385
2023-11-16,3.7025
2023-11-15,3.7185
2023-11-14,3.6835
2023-11-13,3.666
2023-11-10,3.587
2023-11-09,3.6405
2023-11-08,3.638
2023-11-07,3.679
2023-11-06,3.719
2023-11-03,3.6815
2023-11-02,3.6725
2023-11-01,3.649
2023-10-31,3.649
2023-10-30,3.6585
2023-10-27,3.646
2023-10-26,3.5845
2023-10-25,3.591
2023-10-24,3.624
2023-10-23,3.5865
2023-10-20,3.563
2023-10-19,3.601
2023-10-18,3.587
2023-10-17,3.5785
2023-10-16,3.582
2023-10-13,3.571
2023-10-12,3.591
2023-10-11,3.612
2023-10-10,3.634
2023-10-09,3.646
2023-10-06,3.6275
2023-10-05,3.552
2023-10-04,3.589
2023-10-03,3.621
2023-10-02,3.6415
2023-09-29,3.7375
2023-09-28,3.708
2023-09-27,3.6365
2023-09-26,3.649
2023-09-25,3.67
2023-09-22,3.696
2023-09-21,3.696
2023-09-20,3.776
2023-09-19,3.747
2023-09-18,3.779
2023-09-15,3.801
2023-09-14,3.8215
2023-09-13,3.793
2023-09-12,3.792
2023-09-11,3.807
2023-09-08,3.7165
2023-09-07,3.762
2023-09-06,3.786
2023-09-05,3.8485
2023-09-01,3.852
2023-08-31,3.822
2023-08-30,3.844
2023-08-29,3.839
2023-08-28,3.756
2023-08-25,3.762
2023-08-24,3.771
2023-08-23,3.8085
2023-08-22,3.757
2023-08-21,3.7185
2023-08-18,3.706
2023-08-17,3.6915
2023-08-16,3.6575
2023-08-15,3.6675
2023-08-14,3.7255
2023-08-11,3.719
2023-08-10,3.765
2023-08-09,3.7835
2023-08-08,3.7665
2023-08-07,3.835
2023-08-04,3.8675
2023-08-03,3.8995
2023-08-02,3.8435
2023-08-01,3.9085
2023-07-31,4.008
2023-07-28,3.9265
2023-07-27,3.8755
2023-07-26,3.902
2023-07-25,3.9155
2023-07-24,3.8555
2023-07-21,3.818
2023-07-20,3.8345
2023-07-19,3.814
2023-07-18,3.8295
2023-07-17,3.844
2023-07-14,3.933
2023-07-13,3.94
2023-07-12,3.853
2023-07-11,3.766
2023-07-10,3.7845
2023-07-07,3.782
2023-07-06,3.7345
2023-07-05,3.7685
2023-07-03,3.794
2023-06-30,3.7595
2023-06-29,3.699
2023-06-28,3.7425
2023-06-27,3.7885
2023-06-26,3.784
2023-06-23,3.8035
2023-06-22,3.89
2023-06-21,3.9135
2023-06-20,3.8835
2023-06-16,3.889
2023-06-15,3.901
2023-06-14,3.87
2023-06-13,3.831
2023-06-12,3.752
2023-06-09,3.789
2023-06-08,3.795
2023-06-07,3.756
2023-06-06,3.7685
2023-06-05,3.768
2023-06-02,3.7275
2023-06-01,3.711
2023-05-31,3.637
2023-05-30,3.663
2023-05-26,3.682
2023-05-25,3.588
2023-05-24,3.5615
2023-05-23,3.6545
2023-05-22,3.685
