Date,gold_open,gold_high,gold_low,gold_close
2024-05-17,2381.4,2427.4,2377.8,2417.4
2024-05-16,2391.5,2402.7,2375.2,2385.5
2024-05-15,2362.9,2396.1,2357.1,2394.9
2024-05-14,2342.3,2365.2,2340.5,2359.9
2024-05-13,2369.1,2370.8,2337.6,2343.0
2024-05-10,2353.5,2385.3,2352.0,2375.0
2024-05-09,2316.5,2354.2,2312.9,2340.3
2024-05-08,2322.0,2329.6,2311.4,2322.3
2024-05-07,2334.8,2338.7,2318.2,2324.2
2024-05-06,2312.8,2341.9,2300.6,2331.2
2024-05-03,2313.5,2330.7,2285.2,2308.6
2024-05-02,2329.9,2336.1,2294.3,2309.6
2024-05-01,2298.2,2339.5,2291.7,2311.0
2024-04-30,2347.0,2347.6,2296.2,2302.9
2024-04-29,2347.6,2358.9,2331.0,2357.7
2024-04-26,2333.1,2350.5,2326.6,2335.0
2024-04-25,2317.8,2344.8,2306.4,2330.3
2024-04-24,2324.0,2338.0,2313.6,2326.0
2024-04-23,2332.2,2336.0,2293.6,2329.9
2024-04-22,2391.5,2391.5,2327.3,2334.6
2024-04-19,2381.1,2418.1,2374.7,2401.4
2024-04-18,2366.1,2395.7,2366.1,2385.8
2024-04-17,2387.9,2399.5,2359.9,2376.2
2024-04-16,2387.0,2402.2,2367.4,2395.5
2024-04-15,2357.3,2392.0,2330.1,2370.9
2024-04-12,2389.4,2448.8,2350.6,2374.1
2024-04-11,2351.7,2395.6,2343.1,2372.7
2024-04-10,2372.4,2378.1,2337.1,2348.4
2024-04-09,2358.1,2384.5,2355.7,2362.4
2024-04-08,2343.6,2372.5,2321.7,2351.0
2024-04-05,2309.5,2350.0,2286.2,2345.4
2024-04-04,2321.0,2325.3,2298.7,2308.5
2024-04-03,2301.7,2321.8,2285.7,2315.0
2024-04-02,2272.7,2301.9,2267.1,2281.8
2024-04-01,2259.2,2286.4,2249.1,2257.1
2024-03-29,2254.8,2254.8,2254.8,2254.8
2024-03-28,2215.7,2256.9,2207.5,2238.4
2024-03-27,2200.5,2218.3,2193.7,2212.7
2024-03-26,2183.0,2210.7,2179.3,2187.8
2024-03-25,2177.5,2192.7,2175.0,2186.8
2024-03-22,2193.3,2198.0,2169.3,2170.2
2024-03-21,2200.1,2231.3,2178.9,2195.0
