Date,platinum
2024-05-19,1095.1
2024-05-17,1090.0
2024-05-16,1071.3
2024-05-15,1070.1
2024-05-14,1044.6
2024-05-13,1010.8
2024-05-12,1003.0
2024-05-10,1007.2
2024-05-09,990.8
2024-05-08,984.6
2024-05-07,988.4
2024-05-06,964.9
2024-05-05,959.3
2024-05-03,965.3
2024-05-02,962.6
2024-05-01,954.9
2024-04-30,948.2
2024-04-29,961.5
2024-04-28,923.05
2024-04-26,920.2
2024-04-25,918.6
2024-04-24,913.9
2024-04-23,920.0
2024-04-22,928.1
2024-04-21,944.2
2024-04-19,943.8
2024-04-18,954.5
2024-04-17,954.2
2024-04-16,975.2
2024-04-15,981.0
2024-04-14,990.15
2024-04-12,1001.7
2024-04-11,988.0
2024-04-10,976.4
2024-04-09,984.1
2024-04-08,974.5
2024-04-07,935.45
2024-04-05,940.6
2024-04-04,952.6
2024-04-03,946.5
2024-04-02,934.3
2024-04-01,911.4
2024-03-31,924.35
2024-03-29,923.0
2024-03-28,921.1
2024-03-27,909.7
2024-03-26,917.9
2024-03-25,919.0
2024-03-24,910.9
2024-03-22,898.4
2024-03-21,913.0
2024-03-20,899.4
2024-03-19,901.1
2024-03-18,921.2
2024-03-17,941.45
2024-03-15,943.5
2024-03-14,935.7
2024-03-13,944.9
2024-03-12,928.2
2024-03-11,940.5
2024-03-10,920.5
2024-03-08,914.8
2024-03-07,923.4
2024-03-06,914.4
2024-03-05,887.2
2024-03-04,904.3
2024-03-03,889.75
2024-03-01,888.0
2024-02-29,884.0
2024-02-28,885.1
2024-02-27,891.9
2024-02-26,876.8
2024-02-25,904.5
2024-02-23,906.9
2024-02-22,905.5
2024-02-21,889.6
2024-02-20,914.3
2024-02-19,905.65
2024-02-18,913.2
2024-02-16,913.5
2024-02-15,905.2
2024-02-14,897.3
2024-02-13,878.9
2024-02-12,897.1
2024-02-11,881.65
2024-02-09,878.2
2024-02-08,894.0
2024-02-07,886.9
2024-02-06,911.6
2024-02-05,903.5
2024-02-04,904.3
2024-02-02,901.6
2024-02-01,922.3
2024-01-31,932.6
2024-01-30,931.7
2024-01-29,938.3
2024-01-28,919.05
2024-01-26,921.3
2024-01-25,894.5
2024-01-24,914.9
2024-01-23,905.5
2024-01-22,903.0
2024-01-21,907.9
2024-01-19,907.0
2024-01-18,912.0
2024-01-17,889.6
2024-01-16,904.4
2024-01-15,921.35
2024-01-14,917.8
2024-01-12,921.1
2024-01-11,919.6
2024-01-10,929.6
2024-01-09,943.5
2024-01-08,959.4
2024-01-07,971.4
2024-01-05,971.8
2024-01-04,966.3
2024-01-03,987.1
2024-01-02,998.3
2024-01-01,1006.15
2023-12-29,1009.2
2023-12-28,1023.2
2023-12-27,1013.5
2023-12-26,995.6
2023-12-25,990.8
2023-12-22,981.8
2023-12-21,970.3
2023-12-20,974.0
2023-12-19,965.8
2023-12-18,954.3
2023-12-17,945.65
2023-12-15,952.6
2023-12-14,967.9
2023-12-13,922.1
2023-12-12,931.0
2023-12-11,915.7
2023-12-10,924.85
2023-12-08,919.8
2023-12-07,912.0
2023-12-06,893.7
2023-12-05,906.6
2023-12-04,925.1
2023-12-03,945.8
2023-12-01,936.1
2023-11-30,935.9
2023-11-29,941.4
2023-11-28,944.7
2023-11-27,918.0
2023-11-26,935.25
2023-11-24,932.4
2023-11-23,923.6
2023-11-22,925.8
2023-11-21,941.4
2023-11-20,923.4
2023-11-19,900.0
2023-11-17,905.0
2023-11-16,898.4
2023-11-15,901.25
2023-11-14,890.7
2023-11-13,863.6
2023-11-12,848.85
2023-11-10,845.6
2023-11-09,864.3
2023-11-08,871.5
2023-11-07,898.55
2023-11-06,917.6
2023-11-05,937.3
2023-11-03,940.95
2023-11-02,930.6
2023-11-01,934.9
2023-10-31,944.9
2023-10-30,939.9
2023-10-29,910.4
2023-10-27,901.5
2023-10-26,909.0
2023-10-25,912.4
2023-10-24,891.9
2023-10-23,905.0
2023-10-22,901.6
2023-10-20,905.1
2023-10-19,898.2
2023-10-18,894.3
2023-10-17,906.2
2023-10-16,899.4
2023-10-15,890.2
2023-10-13,884.2
2023-10-12,875.8
2023-10-11,893.0
2023-10-10,890.2
2023-10-09,888.8
2023-10-08,881.85
2023-10-06,881.5
2023-10-05,862.5
2023-10-04,874.2
2023-10-03,879.6
2023-10-02,886.8
2023-10-01,919.0
2023-09-29,915.9
2023-09-28,915.1
2023-09-27,896.3
2023-09-26,914.2
2023-09-25,923.6
2023-09-24,938.4
2023-09-22,934.1
2023-09-21,924.6
2023-09-20,942.3
2023-09-19,948.4
2023-09-18,938.3
2023-09-17,932.35
2023-09-15,929.5
2023-09-14,911.1
2023-09-13,905.2
